File Name,Shot Frame Rate,Resolution,Video Codec,Comments,Description,Start TC,End TC,Bit Depth,Camera Type,Camera Format,Camera FPS,Aspect Ratio Notes,Editorial or Commercial Use,
A031_C020_09150A_001.R3D,23.976,5120 x 2160,r3d,grey-reef-shark-rainbowrunners-wide-mid,"A grey reef shark, Carcharhinus amblyrhynchos, surrounded by a school of rainbow runners, Elagatis bipinnulata, who rub against the shark to remove parasites from their skin, Komodo National Park, Indonesia, Pacific Ocean",20:34:24:11,20:36:53:21,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial,Premium
A032_C090_0917VL_001.R3D,23.976,5120 x 2700,r3d,Woman-sarongs-village,"A smiling local woman shows off her brightly colour sarongs, Bonto village, Sangeang Island, Sumbawa, Indonesia, No Model Release",00:41:58:16,00:42:07:05,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Editorial,Standard
A032_C092_09178I_001.R3D,23.976,5120 x 2700,r3d,Local-man-smiling,"A local man sitting in front of his wooden house smiles at the camera, Bontoh village, Sangeang Island, Sumbawa, Indonesia. No model release",00:42:31:12,00:42:51:17,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Editorial,Standard
A030_C060_0915PM_001.R3D,23.976,5120 x 2160,r3d,slow-push-towards-reef-fish-corals,"Pushing toward a healthy coral reef with a large variety of tropical fish including a pair of panda butterflyfish, Chaetodon adiergastos, anthias, damselfish and more, Komodo National Park, Indonesia, Pacific Ocean",17:17:02:16,17:17:52:10,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial,Standard
A031_C010_091568_001.R3D,23.976,5120 x 2160,r3d,giant-napoleon-wrasse-sideview-right-to-left-up,"A Napoleon wrasse, Cheilinus undulatus, cruising along a coral reef from right to left, Komodo National Park, Indonesia, Pacific Ocean",20:21:33:23,20:22:32:13,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial,Premium
A032_C089_0917AD_001.R3D,23.976,5120 x 2700,r3d,Goats-sarongs-village-sangeang,"A pair of goats walk along the beach in front of a colourful sarongs on a laundry line, Bontoh village, Sangeang Island, Sumbawa, Indonesia",00:40:40:14,00:41:14:17,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Editorial,Standard
A031_C021_09151D_001.R3D,23.976,5120 x 2160,r3d,grey-reef-shark-turning-camera-front,"A grey reef shark, Carcharhinus amblyrhynchos, cruising in the blue from left to right before turning and swimming out of the scene, Komodo National Park, Indonesia, Pacific Ocean",20:33:20:12,20:33:44:05,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial ,Premium
A032_C085_0917CU_001.R3D,23.976,5120 x 2700,r3d,sangeang-clouds-landscape,"A landscape view of low clouds drifting over the volcanic peaks of Sangeang island, Sumbawa, Indonesia",00:28:54:08,00:28:59:21,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,Editorial,Standard
A032_C083_09176H_001.R3D,23.976,5120 x 2700,r3d,melibe-nudibranch-feeding,"A Melibe nudibranch, Melibe viridis, using its unique hooded mouth for “hood feeding” as it uses the cirri inside the mouth to sweep for benthic organisms to eat, Komodo National Park, Indonesia, Pacific Ocean",00:28:03:11,00:28:08:23,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,Commercial,Premium
A032_C098_09171M_001.R3D,23.976,5120 x 2700,r3d,wide-colorful-local-fabric-hanging-in-the-wind,"Colourful sarongs on a laundry line blowing in the wind on a beach, Bontoh village, Sangeang Island, Sumbawa, Indonesia",00:46:24:02,00:46:59:08,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Commercial,Standard
A031_C025_0915XL_001.R3D,23.976,5120 x 2160,r3d,following-giant-napoleon-wrasse-reef,"A Napoleon wrasse, Cheilinus undulatus, swims along a reef toward a school of Yellowmask surgeonfish, Acanthurus mata, Komodo National Park, Indonesia, Pacific Ocean",20:37:43:07,20:38:44:12,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial,Premium
A031_C013_0915D3_001.R3D,23.976,5120 x 2160,r3d,giant-sweetlip-cleaner-wrasse-wide,"Moving toward a giant sweetlips, Plectorhinchus albovittatus, with a trigger fish and an angelfish in the background, Komodo National Park, Indonesia, Pacific Ocean",20:24:45:09,20:25:54:22,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial,Premium
