File Name,Clip Directory,Duration TC,Shot Frame Rate,Audio Channels,Resolution,Video Codec,Rating,Description,Comments,Date Recorded,Reel Number,Location,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Field Dominance,Data Level,Date Modified,Input Gamma,Camera Type,Camera Serial #,Camera ID,Camera Format,Camera FPS,Shutter Angle,ISO,White Point (Kelvin),Sensor,Camera Firmware,Aspect Ratio Notes,H-Flip,V-Flip,License,Category,Pricing Tier,
A002_A014_0218V7_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_38_02-03-202623/A002_0216AE.RDM/A002_A014_0218V7.RDC,00:00:09:07,23.976,0,3840 x 2160,r3d,4,"Young Papuan children opening a coconut with a machete, Sawandarek Village, Dampier Strait, Raja Ampat, South West Papua, Indonesia. No Model Release",Papuan Children Cutting Coconuts,20260218 155402,2,"Raja Ampat, Indonesia",16:03:43:07,16:03:52:14,0,222,223,16,Progressive,Auto,Wed Aug 19 15:47:41 2026,Gamma 2.4,KOMODO 6K,KMDBK019149,A,MQ,23.976,180.188,1000,5600,KOMODO S35,"1.8.6, 37748929",1.78,FALSE,FALSE,"Editorial, No Model Release",Culture,Standard,
A002_A029_0218VK_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_38_02-03-202623/A002_0216AE.RDM/A002_A029_0218VK.RDC,00:00:13:11,23.976,0,3840 x 2160,r3d,3,"Papuan kids splashing around on a board in the calm ocean, Sawandarek Village, Dampier Strait, Raja Ampat, South West Papua, Indonesia, No Model Release",Papuan Kids Playing on a Board,20260218 160703,2,"Raja Ampat, Indonesia",16:18:05:08,16:18:18:19,0,322,323,16,Progressive,Auto,Wed Aug 19 15:47:43 2026,Gamma 2.4,KOMODO 6K,KMDBK019149,A,MQ,59.94,180.18,1000,5600,KOMODO S35,"1.8.6, 37748929",1.78,FALSE,FALSE,"Editorial, No Model Release",Culture,Standard,
A002_A029_0218VK_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_38_02-03-202623/A002_0216AE.RDM/A002_A029_0218VK_S000.RDC,00:00:14:21,23.976,0,3840 x 2160,r3d,3,"Papuan kids rowing around on a board in the calm ocean, Sawandarek Village, Dampier Strait, Raja Ampat, South West Papua, Indonesia, No Model Release",Papuan Kids Playing on Float,20260218 160703,2,"Raja Ampat, Indonesia",16:17:31:17,16:17:46:14,0,356,357,16,Progressive,Auto,Wed Aug 19 15:47:44 2026,Gamma 2.4,KOMODO 6K,KMDBK019149,A,MQ,59.94,180.18,1000,5600,KOMODO S35,"1.8.6, 37748929",1.78,FALSE,FALSE,"Editorial, No Model Release",Culture,Standard,
A002_A031_0218AB_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_38_02-03-202623/A002_0216AE.RDM/A002_A031_0218AB.RDC,00:00:05:16,23.976,0,3840 x 2160,r3d,3,"Local speed boats anchored stern to on the beach at Sawandarek Village, Dampier Strait, Raja Ampat, South West Papua, Indonesia (No Property Release)",Speed Boats Anchored at Beach,20260218 160816,2,"Raja Ampat, Indonesia",16:18:06:19,16:18:12:11,0,135,136,16,Progressive,Auto,Wed Aug 19 15:47:44 2026,Gamma 2.4,KOMODO 6K,KMDBK019149,A,MQ,59.94,180.18,1000,5600,KOMODO S35,"1.8.6, 37748929",1.78,FALSE,FALSE,"Editorial, No Model Release",Culture,Standard,
A002_A032_02188W_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_38_02-03-202623/A002_0216AE.RDM/A002_A032_02188W.RDC,00:00:27:19,23.976,0,3840 x 2160,r3d,3,"Papuan kids posing for the camera, Sawandarek Village, Dampier Strait, Raja Ampat, South West Papua, Indonesia (No Model Release)",Kids Pose for Camera,20260218 161027,2,"Raja Ampat, Indonesia",16:20:05:16,16:20:33:11,0,666,667,16,Progressive,Auto,Wed Aug 19 15:47:47 2026,Gamma 2.4,KOMODO 6K,KMDBK019149,A,MQ,59.94,180.18,400,5600,KOMODO S35,"1.8.6, 37748929",1.78,FALSE,FALSE,"Editorial, No Model Release",Culture,Standard,
A002_A033_0218VT_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_38_02-03-202623/A002_0216AE.RDM/A002_A033_0218VT.RDC,00:00:05:16,23.976,0,3840 x 2160,r3d,3,"A young local boy poses for the camera, Sawandarek Village, Dampier Strait, Raja Ampat, South West Papua, Indonesia (No Model Release)",Posing for the Camera,20260218 161057,2,"Raja Ampat, Indonesia",16:21:46:01,16:21:51:17,0,135,136,16,Progressive,Auto,Wed Aug 19 15:47:47 2026,Gamma 2.4,KOMODO 6K,KMDBK019149,A,MQ,59.94,180.18,400,5600,KOMODO S35,"1.8.6, 37748929",1.78,FALSE,FALSE,"Editorial, No Model Release",Culture,Standard,
A002_A033_0218VT_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_38_02-03-202623/A002_0216AE.RDM/A002_A033_0218VT_S000.RDC,00:00:02:16,23.976,0,3840 x 2160,r3d,3,"Young local boy poses for the camera, Sawandarek Village, Dampier Strait, Raja Ampat, South West Papua, Indonesia, No Model Release",Waving at the Camera,20260218 161057,2,"Raja Ampat, Indonesia",16:21:13:22,16:21:16:14,0,63,64,16,Progressive,Auto,Wed Aug 19 15:47:48 2026,Gamma 2.4,KOMODO 6K,KMDBK019149,A,MQ,59.94,180.18,400,5600,KOMODO S35,"1.8.6, 37748929",1.78,FALSE,FALSE,"Editorial, No Model Release",Culture,Standard,
A002_A034_0218XB_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_38_02-03-202623/A002_0216AE.RDM/A002_A034_0218XB.RDC,00:00:08:14,23.976,0,3840 x 2160,r3d,3,"Young boy makes faces at the camera, Sawandarek Village, Dampier Strait, Raja Ampat, South West Papua, Indonesia, No Model Release",Young Boy Makes Face at Camera,20260218 161133,2,"Raja Ampat, Indonesia",16:21:21:05,16:21:29:19,0,205,206,16,Progressive,Auto,Wed Aug 19 15:47:48 2026,Gamma 2.4,KOMODO 6K,KMDBK019149,A,MQ,59.94,180.18,400,5600,KOMODO S35,"1.8.6, 37748929",1.78,FALSE,FALSE,"Editorial, No Model Release",Culture,Standard,
A002_A035_021821_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_38_02-03-202623/A002_0216AE.RDM/A002_A035_021821.RDC,00:00:37:07,23.976,0,3840 x 2160,r3d,3,"Young Papuan man smiles at the camera, Sawandarek Village, Dampier Strait, Raja Ampat, South West Papua, Indonesia",Young Man Smiles at Camera,20260218 161151,2,"Raja Ampat, Indonesia",16:21:25:00,16:22:02:07,0,894,895,16,Progressive,Auto,Wed Aug 19 15:47:52 2026,Gamma 2.4,KOMODO 6K,KMDBK019149,A,MQ,59.94,180.18,400,5600,KOMODO S35,"1.8.6, 37748929",1.78,FALSE,FALSE,"Editorial, No Model Release",Culture,Standard,
A002_A037_0218RM_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_38_02-03-202623/A002_0216AE.RDM/A002_A037_0218RM.RDC,00:00:14:09,23.976,0,3840 x 2160,r3d,3,"A young lady smiles at the camera, Sawandarek village, Dampier Strait, Raja Ampat, South West Papua, Indonesia, No Model Release",Young Lady Smiles at Camera,20260218 161523,2,"Raja Ampat, Indonesia",16:24:57:01,16:25:11:10,0,344,345,16,Progressive,Auto,Wed Aug 19 15:47:55 2026,Gamma 2.4,KOMODO 6K,KMDBK019149,A,MQ,59.94,180.18,400,5600,KOMODO S35,"1.8.6, 37748929",1.78,FALSE,FALSE,"Editorial, No Model Release",Culture,Standard,
