File Name,Clip Directory,Duration TC,Shot Frame Rate,Audio Channels,Resolution,Video Codec,Rating,Description,Comments,Date Recorded,Reel Number,Location,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Field Dominance,Data Level,Date Modified,Input Gamma,Camera Type,Camera Serial #,Camera ID,Camera Format,Camera FPS,Shutter Angle,ISO,White Point (Kelvin),Sensor,Camera Firmware,Lens Type,Camera Aperture,Focal Point (mm),Distance,Aspect Ratio Notes,H-Flip,V-Flip,Category,License,
A007_D002_0308MB_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D002_0308MB.RDC,00:00:09:15,23.976,0,7680 x 4320,r3d,4,"Shallow coral reef looking up at a small karst island at the surface, Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Silhouetted of an Island from Underwater,20260308 103629,7,Raja Ampat,17:49:35:17,17:49:45:08,0,230,231,16,Progressive,Auto,Wed Aug 19 16:06:51 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,200,16,740,1.78,FALSE,FALSE,Underwater,Commercial,Premium
A007_D002_0308MB_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D002_0308MB_S000.RDC,00:00:14:05,23.976,0,7680 x 4320,r3d,4,"Shallow coral reef looking up at a silhouette of a small karst island at the surface, Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Island Silhouette Viewed from Underwater,20260308 103629,7,Raja Ampat,17:49:45:07,17:49:59:12,0,340,341,16,Progressive,Auto,Wed Aug 19 16:06:59 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,200,16,740,1.78,FALSE,FALSE,Underwater,Commercial,Premium
A007_D006_0308QA_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D006_0308QA.RDC,00:00:36:18,23.976,0,7680 x 4320,r3d,4,"Camera moves forward over coral reef with a small silhouetted island in the background, Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Moving Forward Over Coral Reef,20260308 103807,7,Raja Ampat,17:51:02:14,17:51:39:08,0,881,882,16,Progressive,Auto,Wed Aug 19 16:07:07 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,200,16,740,1.78,FALSE,FALSE,Underwater,Commercial,Premium
A007_D013_03080R_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D013_03080R.RDC,00:00:25:23,23.976,0,7680 x 4320,r3d,3,"Looking up at the trees and cliff face on an island with small fish swimming in the foreground, Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Fish and Island Silhouette,20260308 105003,7,Raja Ampat,18:04:19:14,18:04:45:13,0,622,623,16,Progressive,Auto,Wed Aug 19 16:07:38 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,226,16,650,1.78,FALSE,FALSE,Underwater,Commercial,Standard
A007_D014_0308EZ_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D014_0308EZ.RDC,00:00:04:11,23.976,0,7680 x 4320,r3d,4,"Soft coral and schooling fish in front of a swim through, Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Seafan and Fish at Swimthrough,20260308 105300,7,Raja Ampat,18:05:53:01,18:05:57:12,0,106,107,16,Progressive,Auto,Wed Aug 19 16:07:46 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,180,16,650,1.78,FALSE,FALSE,Underwater,Commercial,Premium
A007_D016_03089I_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D016_03089I.RDC,00:00:45:02,23.976,0,7680 x 4320,r3d,4,"Coral reef and small schooling fish at the entrance to a swim through at Batu Rufus dive site, Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Forward Movement Batu Rufus Swimthrough,20260308 105708,7,Raja Ampat,18:09:58:02,18:10:43:04,0,1081,1082,16,Progressive,Auto,Wed Aug 19 16:07:54 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,180,16,650,1.78,FALSE,FALSE,Underwater,Commercial,Premium
A007_D017_0308EA_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D017_0308EA.RDC,00:00:26:20,23.976,0,7680 x 4320,r3d,4,"Tropical fish swimming above a colourful sea fan with a swim through in the background, Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Red Seafan and Swimthrough,20260308 105806,7,Raja Ampat,18:11:13:18,18:11:40:14,0,643,644,16,Progressive,Auto,Wed Aug 19 16:08:30 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,180,16,650,1.78,FALSE,FALSE,Underwater,Commercial,Premium
A007_D018_0308HG_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D018_0308HG.RDC,00:00:20:17,23.976,0,7680 x 4320,r3d,3,"Forward push over a healthy shallow coral reef, Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Forward Push Over Coral Reef,20260308 110000,7,Raja Ampat,18:12:58:23,18:13:19:16,0,496,497,16,Progressive,Auto,Wed Aug 19 16:08:51 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,180,16,740,1.78,FALSE,FALSE,Underwater,Commercial,Standard
A007_D019_0308HR_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D019_0308HR.RDC,00:00:31:15,23.976,0,7680 x 4320,r3d,4,"Forward push over cabbage coral, Turbinaria sp., Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Healthy Cabbage Coral Garden,20260308 110057,7,Raja Ampat,18:14:19:09,18:14:51:00,0,758,759,16,Progressive,Auto,Wed Aug 19 16:09:11 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,180,16,740,1.78,FALSE,FALSE,Underwater,Commercial,Premium
A007_D029_0308I1_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D029_0308I1.RDC,00:00:13:18,23.976,0,7680 x 4320,r3d,4,"Push toward a seafan and table coral, Acropora sp., with schooling damsel fish, Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Coral Outcrop with Damsel Fish,20260308 112854,7,Raja Ampat,18:41:55:08,18:42:09:02,0,329,330,16,Progressive,Auto,Wed Aug 19 16:11:06 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,140,35,540,1.78,FALSE,FALSE,Underwater,Commercial,Premium
A007_D031_0308E1_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D031_0308E1.RDC,00:00:22:08,23.976,0,7680 x 4320,r3d,4,"Schools of blue-green chromis, Chromis viridis and a lone moorish idol, Zanclus cornutus, swim above a stand of lettuce or scroll coral, Turbinaria sp., Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Moorish Idol and Blue Green Chromis with Lettuce Coral,20260308 113009,7,Raja Ampat,18:43:08:23,18:43:31:07,0,535,536,16,Progressive,Auto,Wed Aug 19 16:11:18 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,226,19,630,1.78,FALSE,FALSE,Underwater,Commercial,Premium
A007_D031_0308E1_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D031_0308E1_S000.RDC,00:00:15:19,23.976,0,7680 x 4320,r3d,4,"Forward push over lettuce or scroll coral, Turbinaria sp.Raja Ampat, South West Papua, Indonesia, Pacific Ocean",A Variety of Tropical Fish Swimming Over Lettuce Coral,20260308 113009,7,Raja Ampat,18:44:15:08,18:44:31:03,0,378,379,16,Progressive,Auto,Wed Aug 19 16:11:54 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,226,19,630,1.78,FALSE,FALSE,Underwater,Commercial,Premium
A007_D033_0308T4_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D033_0308T4.RDC,00:00:25:21,23.976,0,7680 x 4320,r3d,4,"Forward push over a healthy garden of cabbage coral, Turbinaria sp., and branching corals, Acropora sp., Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Hard Coral Garden with Branching and Cabbage Corals,20260308 113141,7,Raja Ampat,18:44:46:05,18:45:12:02,0,620,621,16,Progressive,Auto,Wed Aug 19 16:12:03 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,180,19,440,1.78,FALSE,FALSE,Underwater,Commercial,Premium
A007_D036_03088P_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D036_03088P.RDC,00:00:27:06,23.976,0,7680 x 4320,r3d,4,"A diver swims slowly over a field of healthy cabbage corals, Turbinaria sp., Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Diver Swims Over Cabbage Coral,20260308 113347,7,Raja Ampat,18:46:57:03,18:47:24:09,0,653,654,16,Progressive,Auto,Wed Aug 19 16:12:37 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,160,16,450,1.78,FALSE,FALSE,Underwater,Commercial,Premium
A007_D036_03088P_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D036_03088P_S000.RDC,00:00:28:05,23.976,0,7680 x 4320,r3d,4,"Side view of a diver swimming over a hard coral reef, Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Diver and Shallow Coral Reef,20260308 113347,7,Raja Ampat,18:47:50:15,18:48:18:20,0,676,677,16,Progressive,Auto,Wed Aug 19 16:12:51 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,160,16,450,1.78,FALSE,FALSE,Underwater,Commercial,Premium
A007_D038_0308E3_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_40_08-03-202637/A007_0308G4.RDM/A007_D038_0308E3.RDC,00:00:21:09,23.976,0,7680 x 4320,r3d,4,"Diver swims over a coral garden, Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Diver Swims Along Coral Garden,20260308 113659,7,Raja Ampat,18:50:15:02,18:50:36:11,0,512,513,16,Progressive,Auto,Wed Aug 19 16:13:23 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,47.95,180.188,800,5600,V-RAPTOR VV,"1.5.4, 36176123",Canon,226,16,450,1.78,FALSE,FALSE,Underwater,Commercial,Premium
