File Name,Clip Directory,Duration TC,Shot Frame Rate,Audio Channels,Resolution,Video Codec,Pricing Tier,Rating,Description,Comments Title,Keywords,Date Recorded,Reel Number,Location,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Field Dominance,Data Level,Date Modified,Input Gamma,Camera Type,Camera Serial #,Camera ID,Camera Format,Camera FPS,Shutter Angle,ISO,White Point (Kelvin),Sensor,Camera Firmware,Lens Type,Camera Aperture,Focal Point (mm),Distance,Aspect Ratio Notes,H-Flip,V-Flip,License,Category
A044_D001_0222N1_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D001_0222N1.RDC,00:00:05:21,23.976,0,7680 x 4320,r3d,Premium,4,"Small tropical fish swimming around a seafan and soft corals on a wall in Raja Ampat, Southwest Papua, Indonesia, Pacific Ocean",Seafan on Wall with Tropical Fish,,20260222 102629,44,Raja Ampat,17:59:34:07,17:59:40:04,0,140,141,16,Progressive,Auto,Tue Aug 18 19:37:28 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,140,24,480,1.78,FALSE,FALSE,Commercial,Underwater
A044_D001_0222N1_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D001_0222N1_S000.RDC,00:00:08:19,23.976,0,7680 x 4320,r3d,Premium,4,"Small reef fish swim past a gorgonian sea fan, Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Gorgonian Sea Fan and Fish,,20260222 102629,44,Raja Ampat,17:59:43:07,17:59:52:02,0,210,211,16,Progressive,Auto,Tue Aug 18 19:44:38 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,140,24,480,1.78,FALSE,FALSE,Commercial,Underwater
A044_D005_0222P4_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D005_0222P4.RDC,00:00:45:13,23.976,0,7680 x 4320,r3d,Premium,4,"Yellowtail fusiliers, Caesio cuning, swim through the blue hole in the reef with a sea fan in the foreground, Raja Ampat, Southwest Papua, Indonesia, Pacific Ocean",Yellowtail Fusiliers and Blue Hole,,20260222 102912,44,Raja Ampat,18:02:24:22,18:03:10:11,0,1092,1093,16,Progressive,Auto,Tue Aug 18 19:37:41 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,140,24,500,1.78,FALSE,FALSE,Commercial,Underwater
A044_D007_0222IG_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D007_0222IG.RDC,00:00:33:07,23.976,0,7680 x 4320,r3d,Premium,4,"Yellowtail fusiliers, Caesio cuning, swim through the blue hole in the reef with a sea fan in the foreground, Raja Ampat, Southwest Papua, Indonesia, Pacific Ocean",Fusiliers Schooling in front of a Blue Hole,,20260222 103142,44,Raja Ampat,18:05:39:17,18:06:13:00,0,798,799,16,Progressive,Auto,Tue Aug 18 19:37:57 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,140,24,440,1.78,FALSE,FALSE,Commercial,Underwater
A044_D009_0222OE_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D009_0222OE.RDC,00:00:04:18,23.976,0,7680 x 4320,r3d,Standard,3,"Yellowtail fusiliers, Caesio cuning, schooling on a coral reef, Raja Ampat, Southwest Papua, Indonesia, Pacific Ocean",Schooling Yellowtail Fusiliers,,20260222 103453,44,Raja Ampat,18:07:59:23,18:08:04:17,0,113,114,16,Progressive,Auto,Tue Aug 18 19:38:09 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,110,70,510,1.78,FALSE,FALSE,Commercial,Underwater
A044_D010_0222HK_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D010_0222HK.RDC,00:00:13:06,23.976,0,7680 x 4320,r3d,Premium,4,"A mixed school of fusiliers including  yellowtail, Caesio cuning, and lunar, Caesio lunaris, on a coral reef,  Raja Ampat, Southwest Papua, Indonesia, Pacific Ocean",Mixed School of Fusiliers in Raja Ampat,,20260222 103534,44,Raja Ampat,18:08:44:10,18:08:57:16,0,317,318,16,Progressive,Auto,Tue Aug 18 19:38:16 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,130,70,510,1.78,FALSE,FALSE,"Commercial
",Underwater
A044_D011_02222Z_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D011_02222Z.RDC,00:00:24:07,23.976,0,7680 x 4320,r3d,Standard,3,"Shallow hard and soft corals in five metres of water, Raja Ampat, Southwest Papua, Indonesia, Pacific Ocean",Shallow Hard Coral Reef,,20260222 103610,44,Raja Ampat,18:09:18:07,18:09:42:14,0,582,583,16,Progressive,Auto,Tue Aug 18 19:38:25 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,130,24,620,1.78,FALSE,FALSE,Commercial,Underwater
A044_D012_0222XR_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D012_0222XR.RDC,00:00:12:17,23.976,0,7680 x 4320,r3d,Premium,4,"The blue hole at Batu Rufus dive site with a healthy coral reef in the foreground,  Raja Ampat, Southwest Papua, Indonesia, Pacific Ocean",Batu Rufus Blue Hole,,20260222 103737,44,Raja Ampat,18:11:43:04,18:11:55:21,0,304,305,16,Progressive,Auto,Tue Aug 18 19:38:38 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,130,24,620,1.78,FALSE,FALSE,Commercial,Underwater
A044_D013_02221B_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D013_02221B.RDC,00:00:12:15,23.976,0,7680 x 4320,r3d,Premium,4,"Blue hole of Batu Rufus dive site with a school of yellowtail fusiliers, Caesio cuning, in the background and healthy coral in the foreground, Raja Ampat, Southwest Papua, Indonesia, Pacific Ocean",Blue Hole Batu Rufus,,20260222 103908,44,Raja Ampat,18:12:22:03,18:12:34:18,0,302,303,16,Progressive,Auto,Tue Aug 18 19:38:45 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,130,24,620,1.78,FALSE,FALSE,Commercial,Underwater
A044_D014_0222SB_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D014_0222SB.RDC,00:00:25:17,23.976,0,7680 x 4320,r3d,Premium,4,"Swimming toward the blue hole of Batu Rufus dive site with colourful seafans and tropical fish in the foreground, Raja Ampat, Southwest Papua, Indonesia, Pacific Ocean",Sea Fan and Swim Through,,20260222 103940,44,Raja Ampat,18:12:58:08,18:13:24:01,0,616,617,16,Progressive,Auto,Tue Aug 18 19:38:54 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,130,24,620,1.78,FALSE,FALSE,Commercial,Underwater
