File Name,Clip Directory,Duration TC,Shot Frame Rate,Audio Channels,Resolution,Video Codec,Title,Description,Location,Pricing Tier,License Type,Type,Reel Number,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Field Dominance,Data Level,Date Modified,EDL Clip Name,Camera Type,Camera Serial #,Camera ID,Camera Format,Camera FPS,Shutter Angle,ISO,White Point (Kelvin),Sensor,Camera Firmware,Lens Type,Camera Aperture,Focal Point (mm),Distance,Aspect Ratio Notes,H-Flip,V-Flip,,,
A002_A003_0408FB_V2-0006.mp4,,,,,,,Group of Men Fishing on Jetty,"A group of men fishing on a broken jetty at sunset, Nabire, Central Papua, Indonesia, Pacific Ocean (no Model Release)","Cendrawasih Bay, Indonesia",standard,Editorial,Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A002_A004_0408BX_V2-0007.mp4,,,,,,,Sunset and Fishing,"A group of men fishing on a broken jetty at sunset while waves break on the beach, Nabire, Central Papua, Indonesia, Pacific Ocean (no Model Release)","Cendrawasih Bay, Indonesia",standard,Editorial,Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A002_A037_0409MP_V2-0001.mp4,,,,,,,Plane Coming in to Land,"A Wings Air flight coming in over the ocean to land at Nabire Airport, Nabire, Central Papua, Indonesia, Pacific Ocean (No Property Release)","Cendrawasih Bay, Indonesia",standard,Editorial,Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A002_A037_0409MP_V2-0002.mp4,,,,,,,Wings Air Plane Landing,"A Wings Air flight lands at Nabire airport with local traffic driving past in the foreground, Nabire, Central Papua, Indonesia (No Property or Model Release)","Cendrawasih Bay, Indonesia",standard,Editorial,Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A003_A001_0411BY_V2-0009.mp4,,,,,,,Small Speed Boat at Anchor on Beach,"A small speed boat sits at anchor in front of a white sand beach with a small hut, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (No Property Release)","Cendrawasih Bay, Indonesia",standard,Editorial,Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A003_A002_04112G_V2-0010.mp4,,,,,,,Small Speed Boat at Anchor in Shallows,"A small speed boat sits at anchor in calm, shallow water, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (No Property Release)","Cendrawasih Bay, Indonesia",standard,Editorial,Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A003_A004_0411EO_V2-0008.mp4,,,,,,,The Jetty of Kali Lemon Resort,"Kali Lemon Resort jetty, Kwatisore Bay, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (No Property Release)","Cendrawasih Bay, Indonesia",standard,Editorial,Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A003_A007_0411ZF_V2-0011.mp4,,,,,,,Kali Lemon Resort,"Kali Lemon Resort as seen from the jetty, Kwatisore Bay, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (No Property Release)","Cendrawasih Bay, Indonesia",standard,Editorial,Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A003_A012_0411AV_V2-0012.mp4,,,,,,,Flat Calm Sea,"A calm ocean with blue sky, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean","Cendrawasih Bay, Indonesia",Premium,Commercial,Landscape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A003_A063_0408XO_V2-0003.mp4,,,,,,,Fishing Boats on Anchor,"Fishing boats on anchor at sunset, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (No Property Release)","Cendrawasih Bay, Indonesia",standard,Editorial,Landscape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
