File Name,Clip Directory,Duration TC,Shot Frame Rate,Audio Channels,Resolution,Video Codec,Title,Description,Location,Pricing Tier,License Type,Type,Reel Number,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Field Dominance,Data Level,Date Modified,EDL Clip Name,Camera Type,Camera Serial #,Camera ID,Camera Format,Camera FPS,Shutter Angle,ISO,White Point (Kelvin),Sensor,Camera Firmware,Lens Type,Camera Aperture,Focal Point (mm),Distance,Aspect Ratio Notes,H-Flip,V-Flip,,,
A005_A075_04143F_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A075_04143F.RDC,00:00:08:10,25.000,0,4608 x 2412,r3d,Shallow Seagrass Swaying in the Shallows,"Tropical eelgrass, Enhalus acoroides, in the shallows swaying with the water movement, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 025601,5,02:56:01:09,02:56:09:19,0,209,210,16,Progressive,Auto,Tue Apr 20 14:11:07 2021,A005_A075_04143F_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,5300,GEMINI 5K S35,4.01,2,Canon,160,20,685,191.045,FALSE,FALSE,
A005_A076_04149A_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A076_04149A.RDC,00:00:12:09,25.000,0,4608 x 2412,r3d,Tracking Forward over Seagrass,"Camera tracking forward over tropical eelgrass, Enhalus acoroides, on a shallow sandy bottom, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 025634,5,02:56:38:09,02:56:50:18,0,308,309,16,Progressive,Auto,Tue Apr 20 14:11:15 2021,A005_A076_04149A_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,5300,GEMINI 5K S35,4.01,2,Canon,160,20,685,191.045,FALSE,FALSE,
A005_A078_0414QC_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A078_0414QC.RDC,00:00:26:24,25.000,0,4608 x 2412,r3d,Boring Giant Clams on a Reef,"Several boring giant clams, Tridacna crocea, embedded in a field of acropora branching corals, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 030146,5,03:01:53:13,03:02:20:12,0,673,674,16,Progressive,Auto,Tue Apr 20 14:11:59 2021,A005_A078_0414QC_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,5300,GEMINI 5K S35,4.01,2,Canon,160,20,329735,191.045,FALSE,FALSE,
A005_A079_0414KA_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A079_0414KA.RDC,00:00:12:17,25.000,0,4608 x 2412,r3d,Boring Giant Clams on a Reef,"Several boring giant clams, Tridacna crocea, embedded in a field of acropora branching corals, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 030315,5,03:03:27:21,03:03:40:13,0,316,317,16,Progressive,Auto,Tue Apr 20 14:12:08 2021,A005_A079_0414KA_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,5300,GEMINI 5K S35,4.01,2,Canon,160,20,329735,191.045,FALSE,FALSE,
A005_A080_0414L1_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A080_0414L1.RDC,00:00:15:07,25.000,0,4608 x 2412,r3d,Panning Around Boring Giant Clams,"Panning around boring giant clams, Tridacna crocea, embedded in a field of acropora branching corals, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 030414,5,03:04:45:16,03:05:00:23,0,381,382,16,Progressive,Auto,Tue Apr 20 14:17:58 2021,A005_A080_0414L1_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,5300,GEMINI 5K S35,4.01,2,Canon,160,35,329735,191.045,FALSE,FALSE,
A005_A080_0414L1_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A080_0414L1_S000.RDC,00:00:18:08,25.000,0,4608 x 2412,r3d,Panning Around Boring Giant Clams,"Panning around boring giant clams, Tridacna crocea, embedded in a field of acropora branching corals, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 030414,5,03:05:05:12,03:05:23:20,0,457,458,16,Progressive,Auto,Tue Apr 20 14:18:13 2021,A005_A080_0414L1_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,5300,GEMINI 5K S35,4.01,2,Canon,160,35,329735,191.045,FALSE,FALSE,
A005_A081_0414Z0_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A081_0414Z0.RDC,00:01:26:06,25.000,0,4608 x 2412,r3d,Anemone Fish and Giant Clams on Reef,"A pair of Clarke’s anemone fish, Amphiprion clarkii, and boring giant clams, Tridacna crocea, on a hard coral reef with healthy acropora corals, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 030717,5,03:07:37:05,03:09:03:11,0,2155,2156,16,Progressive,Auto,Tue Apr 20 14:12:57 2021,A005_A081_0414Z0_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,5300,GEMINI 5K S35,4.01,2,Canon,160,35,329735,191.045,FALSE,FALSE,
A005_A081_0414Z0_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A081_0414Z0.RDC,00:01:26:06,25.000,0,4608 x 2412,r3d,Healthy Hard Coral Reef,"A healthy hard coral reef with several species of tropical fish, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 030717,5,03:07:37:05,03:09:03:11,0,2155,2156,16,Progressive,Auto,Tue Apr 20 14:12:57 2021,A005_A081_0414Z0_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,5300,GEMINI 5K S35,4.01,2,Canon,160,35,329735,191.045,FALSE,FALSE,
A005_A082_0414ET_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A082_0414ET.RDC,00:00:15:14,25.000,0,4608 x 2412,r3d,Pushing Forward Over Hard Coral Reef,"Camera pushing forward across across a healthy hard coral reef, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 031055,5,03:11:03:07,03:11:18:21,0,388,389,16,Progressive,Auto,Tue Apr 20 14:13:28 2021,A005_A082_0414ET_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A082_0414ET_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A082_0414ET_S000.RDC,00:00:31:15,25.000,0,4608 x 2412,r3d,Pushing Forward Over Hard Coral Reef,"Camera pushing forward across across a healthy hard coral reef with a variety of tropical fish, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 031055,5,03:11:41:12,03:12:13:02,0,789,790,16,Progressive,Auto,Tue Apr 20 14:18:39 2021,A005_A082_0414ET_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
