File Name,Clip Directory,Duration TC,Shot Frame Rate,Audio Channels,Resolution,Video Codec,Title,Description,Location,Type,Pricing Tier,Licence Type,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Field Dominance,Data Level,Date Modified,EDL Clip Name,Camera Type,Camera Serial #,Camera ID,Camera Format,Camera FPS,Shutter Angle,ISO,White Point (Kelvin),Sensor,Camera Firmware,Lens Type,Camera Aperture,Focal Point (mm),Distance,Aspect Ratio Notes,H-Flip,V-Flip,,,,,,
A003_A010_0411CY_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/Kalilemon_trimmed/A003_A010_0411CY.RDC,00:00:16:19,25.000,0,5120 x 2700,r3d,Static Coastal Papuan Landscape,"A static clip of flat water and jungle on the coast of Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,Landscape,standard,commercial,20210411 020201,3,02:02:33:13,02:02:50:07,0,418,419,16,Progressive,Auto,Thu Apr 22 11:38:44 2021,A003_A010_0411CY_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 11:1,96,179.263,250,6000,GEMINI 5K S35,4.01,2,Canon,110,20,329735,1.09,FALSE,FALSE,,,
A003_A011_0411AQ_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/Kalilemon_trimmed/A003_A011_0411AQ.RDC,00:00:11:04,25.000,0,5120 x 2700,r3d,Panning Left to Right Papuan Landscape,"Panning left to right across the coastline with flat water, a white beach and green tropical jungle, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,Landscape,standard,commercial,20210411 020217,3,02:02:28:24,02:02:40:03,0,278,279,16,Progressive,Auto,Thu Apr 22 11:38:48 2021,A003_A011_0411AQ_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 11:1,96,179.263,250,6000,GEMINI 5K S35,4.01,2,Canon,110,20,329735,1.09,FALSE,FALSE,,,
A003_A014_0411SN_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/Kalilemon_trimmed/A003_A014_0411SN.RDC,00:00:25:18,25.000,0,5120 x 2700,r3d,Wide Static Coastal Papuan Landscape,"A wide static clip of flat water, white sand beach and jungle on the coast of Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,Landscape,standard,commercial,20210411 020558,3,02:05:58:05,02:06:23:23,0,642,643,16,Progressive,Auto,Thu Apr 22 11:39:09 2021,A003_A014_0411SN_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 11:1,96,179.263,250,6000,GEMINI 5K S35,4.01,2,Canon,110,20,329735,1.09,FALSE,FALSE,,,
A005_A100_0414R2_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Kalilemon_Trekking/A005_A100_0414R2.RDC,00:00:17:00,25.000,0,5120 x 2700,r3d,Evening Sunlight Reflects Off Waves at Beach,"Evening sunlight reflecting on small waves as they break on a beach, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,Landscape,standard,commercial,20210414 094118,5,09:41:19:02,09:41:36:02,0,424,425,16,Progressive,Auto,Tue Apr 20 14:21:06 2021,A005_A100_0414R2_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,250,6000,GEMINI 5K S35,4.01,2,Canon,320,200,342985,1.09,FALSE,FALSE,,,
A005_A101_0414KG_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Kalilemon_Trekking/A005_A101_0414KG.RDC,00:00:13:03,25.000,0,5120 x 2700,r3d,Evening Sunlight Reflects Off Waves at Beach,"Evening sunlight reflecting on small waves as they break on a beach, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,Landscape,standard,commercial,20210414 094153,5,09:41:57:21,09:42:10:24,0,327,328,16,Progressive,Auto,Tue Apr 20 14:22:40 2021,A005_A101_0414KG_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,250,6000,GEMINI 5K S35,4.01,2,Canon,320,200,342985,1.09,FALSE,FALSE,,,
A005_A103_0414I8_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Kalilemon_Trekking/A005_A103_0414I8.RDC,00:00:08:00,25.000,0,5120 x 2700,r3d,Ocean Waves Washing Ashore on Papuan Beach,"Small waves wash ashore onto a beach with large green trees growing almost to the shoreline, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,Landscape,standard,commercial,20210414 094300,5,09:43:06:16,09:43:14:16,0,199,200,16,Progressive,Auto,Tue Apr 20 14:21:15 2021,A005_A103_0414I8_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,250,6000,GEMINI 5K S35,4.01,2,Canon,160,70,4294967295,1.09,FALSE,FALSE,,,
A005_A104_04146P_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Kalilemon_Trekking/A005_A104_04146P.RDC,00:00:07:11,25.000,0,5120 x 2700,r3d,Panning Left to Right from Ocean to Jungle,"Panning left from a calm ocean to a beach surrounded by large green trees, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean ay",Cendrawasih Bay,Landscape,standard,commercial,20210414 094317,5,09:43:26:04,09:43:33:15,0,185,186,16,Progressive,Auto,Tue Apr 20 14:22:57 2021,A005_A104_04146P_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,75,180,250,6000,GEMINI 5K S35,4.01,2,Canon,160,70,4294967295,1.09,FALSE,FALSE,,,
A005_A105_0414EK_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Kalilemon_Trekking/A005_A105_0414EK.RDC,00:00:09:06,25.000,0,5120 x 2700,r3d,Waves Breaking on the Beach,"Small waves breaking on the beach, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,Landscape,standard,commercial,20210414 094352,5,09:43:52:12,09:44:01:18,0,230,231,16,Progressive,Auto,Tue Apr 20 14:21:24 2021,A005_A105_0414EK_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,75,180,250,6000,GEMINI 5K S35,4.01,2,Canon,160,70,7175,1.09,FALSE,FALSE,,,
A006_A006_0413W3_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Spearfishing_whaleshark_djokovi_swimming/SPEARFISHING_TRIMMED/A006_A006_0413W3.RDC,00:00:24:13,25.000,0,5120 x 2700,r3d,Waves Breaking Over Driftwood,"Small waves break over a piece of driftwood on the beach, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,Landscape,standard,commercial,20210413 030350,6,03:05:14:18,03:05:39:06,0,612,613,16,Progressive,Auto,Fri Apr 23 11:58:58 2021,A006_A006_0413W3_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,75,180,800,6000,GEMINI 5K S35,4.01,2,Canon,40,88,7175,1.09,FALSE,FALSE,,,
A006_A007_0413FD_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Spearfishing_whaleshark_djokovi_swimming/SPEARFISHING_TRIMMED/A006_A007_0413FD.RDC,00:00:08:16,25.000,0,5120 x 2700,r3d,Panning as a Wave BreaksOver Driftwood,"Camera pans to the right as a wave breaks over a piece of driftwood on the beach, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,Landscape,standard,commercial,20210413 030447,6,03:05:11:04,03:05:19:20,0,215,216,16,Progressive,Auto,Fri Apr 23 11:59:03 2021,A006_A007_0413FD_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,75,180,800,6000,GEMINI 5K S35,4.01,2,Canon,40,70,2410,1.09,FALSE,FALSE,,,
