File Name,Clip Directory,Duration TC,Shot Frame Rate,Audio Channels,Resolution,Video Codec,Comments,Description,Pricing Tier,License Type,Location,Category,Date Recorded,Reel Number,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Field Dominance,Data Level,Date Modified,EDL Clip Name,Camera Type,Camera Serial #,Camera ID,Camera Format,Camera FPS,Shutter Angle,ISO,White Point (Kelvin),Sensor,Camera Firmware,Lens Type,Camera Aperture,Focal Point (mm),Distance,Aspect Ratio Notes,H-Flip,V-Flip
A006_A005_0413BD_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Spearfishing_whaleshark_djokovi_swimming/SPEARFISHING_TRIMMED/A006_A005_0413BD.RDC,00:00:03:14,25.000,0,5120 x 2700,r3d,Papuan Man Preparing Fishing Gear,"A Papuan man prepares his speargun before heading out fishing, near Nabire, Central Papua, Indonesia (no Model Release)",Standard,"Editorial, no Model Release","Cendrawasih Bay, Indonesia",Cultural,20210413 030059,6,03:01:33:13,03:01:37:02,0,88,89,16,Progressive,Auto,Fri Apr 23 11:58:45 2021,A006_A005_0413BD_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,75,180,800,6000,GEMINI 5K S35,"04.01,2",Canon,40,200,12105,1.09,FALSE,FALSE
A006_A005_0413BD_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Spearfishing_whaleshark_djokovi_swimming/SPEARFISHING_TRIMMED/A006_A005_0413BD_S000.RDC,00:00:04:00,25.000,0,5120 x 2700,r3d,Papuan Man Preparing Spear Gun,"A Papuan man prepares his spear gun for fishing, Nabire, Central Papua, Indonesia (no Model Release)",Standard,"Editorial, no Model Release","Cendrawasih Bay, Indonesia",Cultural,20210413 030059,6,03:01:42:12,03:01:46:12,0,99,100,16,Progressive,Auto,Fri Apr 23 12:06:12 2021,A006_A005_0413BD_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,75,180,800,6000,GEMINI 5K S35,"04.01,2",Canon,40,200,12105,1.09,FALSE,FALSE
A006_A008_0413KT_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Spearfishing_whaleshark_djokovi_swimming/SPEARFISHING_TRIMMED/A006_A008_0413KT.RDC,00:00:36:05,25.000,0,5120 x 2700,r3d,Papuan Man Descending Stairs,"A Papuan man descends the stairs of his house and picks up his spear gun, Nabire, Central Papua, Indonesia (no Model Release)",Standard,"Editorial, no Model Release","Cendrawasih Bay, Indonesia",Cultural,20210413 030608,6,03:06:08:18,03:06:44:23,0,904,905,16,Progressive,Auto,Fri Apr 23 11:59:24 2021,A006_A008_0413KT_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,75,180,800,6000,GEMINI 5K S35,"04.01,2",Canon,40,70,5145,1.09,FALSE,FALSE
A006_A009_0413QE_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Spearfishing_whaleshark_djokovi_swimming/SPEARFISHING_TRIMMED/A006_A009_0413QE.RDC,00:00:23:10,25.000,0,5120 x 2700,r3d,Hand Grabs Spear Gun,"The hand of a Papuan man reaches out to grab a spear gun, Nabire, Central Papua, Indonesia (no Model Release)",Standard,"Editorial, no Model Release","Cendrawasih Bay, Indonesia",Cultural,20210413 030640,6,03:06:40:15,03:07:04:00,0,584,585,16,Progressive,Auto,Fri Apr 23 11:59:37 2021,A006_A009_0413QE_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,75,180,800,6000,GEMINI 5K S35,"04.01,2",Canon,40,70,1185,1.09,FALSE,FALSE
A006_A010_0413C8_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Spearfishing_whaleshark_djokovi_swimming/SPEARFISHING_TRIMMED/A006_A010_0413C8.RDC,00:00:25:04,25.000,0,5120 x 2700,r3d,Papuan Man Walks with Spear Gun,"A Papuan man walks away from his house with his spear gun before putting it down, Nabire, Central Papua, Indonesia (no Model Release)",Standard,"Editorial, no Model Release","Cendrawasih Bay, Indonesia",Cultural,20210413 030724,6,03:07:43:00,03:08:08:04,0,628,629,16,Progressive,Auto,Fri Apr 23 11:59:52 2021,A006_A010_0413C8_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,75,180,800,6000,GEMINI 5K S35,"04.01,2",Canon,40,70,4294967295,1.09,FALSE,FALSE
A006_A011_04134S_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Spearfishing_whaleshark_djokovi_swimming/SPEARFISHING_TRIMMED/A006_A011_04134S.RDC,00:00:25:10,25.000,0,5120 x 2700,r3d,Pulling Out a Paddle,"A man pulls a wooden paddle out from under his house, Nabire, Central Papua, Indonesia (no Model Release)",Standard,"Editorial, no Model Release","Cendrawasih Bay, Indonesia",Cultural,20210413 030757,6,03:08:01:16,03:08:27:01,0,634,635,16,Progressive,Auto,Fri Apr 23 12:00:06 2021,A006_A011_04134S_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,75,180,800,6000,GEMINI 5K S35,"04.01,2",Canon,40,70,2070,1.09,FALSE,FALSE
A006_A012_0413V7_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Spearfishing_whaleshark_djokovi_swimming/SPEARFISHING_TRIMMED/A006_A012_0413V7.RDC,00:00:06:23,25.000,0,5120 x 2700,r3d,Papuan Man Smiles at Camera,"A Papuan man smiles at the camera, Nabire, Central Papua, Indonesia (no Model Release)",Standard,"Editorial, no Model Release","Cendrawasih Bay, Indonesia",Cultural,20210413 030957,6,03:10:20:18,03:10:27:16,0,172,173,16,Progressive,Auto,Fri Apr 23 12:00:10 2021,A006_A012_0413V7_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,75,180,800,6000,GEMINI 5K S35,"04.01,2",Canon,40,200,4345,1.09,FALSE,FALSE
A006_A014_04137A_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Spearfishing_whaleshark_djokovi_swimming/SPEARFISHING_TRIMMED/A006_A014_04137A.RDC,00:00:18:06,25.000,0,5120 x 2700,r3d,Pulling Goggle from Shelf,"A man collects his custom goggles from a shelf filled with skulls and shells, Nabire, Central Papua, Indonesia (no Model Release)",Standard,"Editorial, no Model Release","Cendrawasih Bay, Indonesia",Cultural,20210413 031132,6,03:11:37:15,03:11:55:21,0,455,456,16,Progressive,Auto,Fri Apr 23 12:00:30 2021,A006_A014_04137A_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,75,180,800,6000,GEMINI 5K S35,"04.01,2",Canon,40,120,2225,1.09,FALSE,FALSE
A006_A015_0413BJ_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Spearfishing_whaleshark_djokovi_swimming/SPEARFISHING_TRIMMED/A006_A015_0413BJ.RDC,00:00:21:22,25.000,0,5120 x 2700,r3d,Man Leaving House,"A man walks out of his house as filmed from behind, Nabire, Central Papua, Indonesia (no Model Release)",Standard,"Editorial, no Model Release","Cendrawasih Bay, Indonesia",Cultural,20210413 031157,6,03:12:07:12,03:12:29:09,0,546,547,16,Progressive,Auto,Fri Apr 23 12:00:41 2021,A006_A015_0413BJ_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,75,180,800,6000,GEMINI 5K S35,"04.01,2",Canon,40,70,2630,1.09,FALSE,FALSE
A006_A017_0413T3_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Spearfishing_whaleshark_djokovi_swimming/SPEARFISHING_TRIMMED/A006_A017_0413T3.RDC,00:00:19:18,25.000,0,5120 x 2700,r3d,Panning Across Papuan Canoe,"Panning from left to right across a Papuan canoe in early morning light, Nabire, Central Papua, Indonesia (no Model Release)",Standard,"Editorial, no Model Release","Cendrawasih Bay, Indonesia",Cultural,20210413 031614,6,03:16:14:17,03:16:34:10,0,492,493,16,Progressive,Auto,Fri Apr 23 12:00:52 2021,A006_A017_0413T3_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,75,180,800,6000,GEMINI 5K S35,"04.01,2",Canon,40,70,2905,1.09,FALSE,FALSE
