File Name,Duration TC,Shot Frame Rate,Resolution,Video Codec,Comments/Title,Description,Pricing Tier,License Type,Location,Category,Start TC,End TC,Bit Depth,Camera Format,Camera FPS,Shutter Angle,Aspect Ratio Notes
A005_A058_0412VY_001.R3D,00:00:04:11,25.000,5120 x 2700,r3d,Papuan Man Pointing into Trees,"A closeup of a Papuan man pointing into the trees in the forest of Central Papua, Cendrawasih Bay, Indonesia (No Model Release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Cultural,23:12:03:13,23:12:07:24,16,REDcode 11:1,96,179.263,1.09
A005_A058_0412VY_001.R3D,00:00:17:03,25.000,5120 x 2700,r3d,Papuan Man Smiling,"A closeup of a Papuan man with betel nut stained teeth smiling at the camera, Cendrawasih Bay, Indonesia (No Model Release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Cultural,23:13:22:07,23:13:39:10,16,REDcode 11:1,96,179.263,1.09
A005_A058_0412VY_001.R3D,00:00:16:05,25.000,5120 x 2700,r3d,Papuan Man Looking Up,"A closeup of a Papuan man looking up into the forest of Central Papua, Cendrawasih Bay, Indonesia (No Model Release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Cultural,23:11:38:23,23:11:55:03,16,REDcode 11:1,96,179.263,1.09
A005_A074_0412IV_001.R3D,00:00:18:18,25.000,5120 x 2700,r3d,Photographer Taking Photos in the Jungle,"Looking over the shoulder of a man taking a photo in the forest of Central Papua, Cendrawasih Bay, Indonesia (No Model Release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Cultural,23:50:56:17,23:51:15:10,16,REDcode 8:1,75,180,1.09
A005_A097_0414OK_001.R3D,00:00:21:19,25.000,5120 x 2700,r3d,Local Guide Chops Brush with Machete,"A local Papuan guide chopping brush with a machete in the forest of Central Papua, Cendrawasih Bay, Indonesia (No Model Release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Cultural,09:19:41:15,09:20:03:09,16,REDcode 7:1,50,180,1.09
A005_A097_0414OK_001.R3D,00:00:21:19,25.000,5120 x 2700,r3d,Papuan Guide Drinking from a Tree,"A Papuan guide drinks water from a tree in the forest of Central Papua, Cendrawasih Bay, Indonesia (No Model Release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Cultural,09:19:41:15,09:20:03:09,16,REDcode 7:1,50,180,1.09
A005_A097_0414OK_001.R3D,00:00:08:19,25.000,5120 x 2700,r3d,Papuan Guide Drinking from a Tree,"A Papuan guide drinks water from a tree in the forest of Central Papua, Cendrawasih Bay, Indonesia (No Model Release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Cultural,09:19:20:13,09:19:29:07,16,REDcode 7:1,50,180,1.09
A005_A097_0414OK_001.R3D,00:00:16:16,25.000,5120 x 2700,r3d,Papuan Guide Drinking from a Tree,"A Papuan guide drinks water from a tree in the forest of Central Papua, Cendrawasih Bay, Indonesia (No Model Release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Cultural,09:18:40:16,09:18:57:07,16,REDcode 7:1,50,180,1.09
A005_A098_0414VS_001.R3D,00:00:21:17,25.000,5120 x 2700,r3d,Papuan Guide Drinking from a Tree,"A Papuan guide drinks water from a tree in the forest of Central Papua, Cendrawasih Bay, Indonesia (No Model Release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Cultural,09:21:05:11,09:21:27:03,16,REDcode 7:1,50,180,1.09
A005_A099_0414NQ_001.R3D,00:00:55:15,25.000,5120 x 2700,r3d,Papuan Guide Drinking from a Tree,"A Papuan guide drinks water from a tree in the forest of Central Papua, Cendrawasih Bay, Indonesia (No Model Release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Cultural,09:24:38:13,09:25:34:03,16,REDcode 7:1,50,180,1.09
A005_A099_0414NQ_001.R3D,00:00:55:15,25.000,5120 x 2700,r3d,Papuan Guide Chopping a Branch,"A Papuan guide chops a branch that holds potable water, in the forest of Central Papua, Cendrawasih Bay, Indonesia (No Model Release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Cultural,09:24:38:13,09:25:34:03,16,REDcode 7:1,50,180,1.09
