File Name,Duration TC,Shot Frame Rate,Resolution,Video Codec,Title Comments,Description,Pricing Tier,License Type,Location,Category,Start TC,End TC,Bit Depth,Camera Format,Camera FPS,Shutter Angle,Aspect Ratio Notes
A005_A052_0412XE_001.R3D,00:02:23:22,25.000,2048 x 1080,r3d,Lesser Bird of Paradise in Tree,"Male Lesser Bird of Paradise (Paradisaea minor) in a tree trying to attract a mate, Cendrawasih Bay, Central Papua, Indonesia",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:09:11:16,23:11:35:13,16,REDcode 8:1,175,180,1.09
A005_A052_0412XE_001.R3D,00:02:23:22,25.000,2048 x 1080,r3d,Male Lesser Bird of Paradise in Tree,"Male Lesser Bird of Paradise (Paradisaea minor) in a tree, Cendrawasih Bay, Central Papua, Indonesia",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:09:11:16,23:11:35:13,16,REDcode 8:1,175,180,1.09
A005_A052_0412XE_001.R3D,00:02:23:22,25.000,2048 x 1080,r3d,Male Lesser Bird of Paradise in Tree,"Male Lesser Bird of Paradise (Paradisaea minor) in a tree trying to attract a mate, Cendrawasih Bay, Central Papua, Indonesia",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:09:11:16,23:11:35:13,16,REDcode 8:1,175,180,1.09
A005_A052_0412XE_001.R3D,00:01:04:01,25.000,2048 x 1080,r3d,Male Lesser Bird of Paradise Calling Out,"Male Lesser Bird of Paradise (Paradisaea minor) calling out to attract a mate, Cendrawasih Bay, Central Papua, Indonesia (No Audio)",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:12:59:00,23:14:03:01,16,REDcode 8:1,175,180,1.09
A005_A052_0412XE_001.R3D,00:01:04:01,25.000,2048 x 1080,r3d,Male Lesser Bird of Paradise,"Male Lesser Bird of Paradise (Paradisaea minor) in a tree, Cendrawasih Bay, Central Papua, Indonesia",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:12:59:00,23:14:03:01,16,REDcode 8:1,175,180,1.09
A005_A052_0412XE_001.R3D,00:00:10:24,25.000,2048 x 1080,r3d,Male Lesser Bird of Paradise Jumping,"Male Lesser Bird of Paradise (Paradisaea minor) jumps from one branch to another, Cendrawasih Bay, Central Papua, Indonesia",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:14:51:19,23:15:02:18,16,REDcode 8:1,175,180,1.09
A005_A052_0412XE_001.R3D,00:00:48:01,25.000,2048 x 1080,r3d,Jumping Male Bird of Paradise,"Male Lesser Bird of Paradise (Paradisaea minor) jumping around in a tree, Cendrawasih Bay, Central Papua, Indonesia",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:18:03:23,23:18:51:24,16,REDcode 8:1,175,180,1.09
A005_A052_0412XE_001.R3D,00:00:48:01,25.000,2048 x 1080,r3d,Male Lesser Bird of Paradise in Tree,"Male Lesser Bird of Paradise (Paradisaea minor) in a tree, Cendrawasih Bay, Central Papua, Indonesia",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:18:03:23,23:18:51:24,16,REDcode 8:1,175,180,1.09
A005_A052_0412XE_001.R3D,00:00:21:23,25.000,2048 x 1080,r3d,Male Lesser Bird of Paradise Shaking ,"Male Lesser Bird of Paradise (Paradisaea minor) in a tree shaking its feathers, Cendrawasih Bay, Central Papua, Indonesia",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:19:09:19,23:19:31:17,16,REDcode 8:1,175,180,1.09
A005_A054_0412CE_001.R3D,00:00:27:23,25.000,2048 x 1080,r3d,Male Lesser Bird of Paradise,"Male Lesser Bird of Paradise (Paradisaea minor) scratching its back with its beak, Cendrawasih Bay, Central Papua, Indonesia",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:05:12:19,23:05:40:17,16,REDcode 8:1,175,180,1.09
A005_A054_0412CE_001.R3D,00:00:28:22,25.000,2048 x 1080,r3d,Male Lesser Bird of Paradise Flies Away,"Male Lesser Bird of Paradise (Paradisaea minor) flies out of a tree, Cendrawasih Bay, Central Papua, Indonesia",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:13:53:02,23:14:21:24,16,REDcode 8:1,175,180,1.09
A005_A055_0412RE_001.R3D,00:00:25:16,25.000,2048 x 1080,r3d,Male Lesser Bird of Paradise Jumping on Branch,"Male Lesser Bird of Paradise (Paradisaea minor) bouncing along a tree branch, Cendrawasih Bay, Central Papua, Indonesia",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:09:48:24,23:10:14:15,16,REDcode 8:1,175,180,1.09
A005_A055_0412RE_001.R3D,00:00:17:00,25.000,2048 x 1080,r3d,Camera Pans to Lesser Bird of Paradise,"Camera pans to a male Lesser Bird of Paradise (Paradisaea minor) bouncing along a branch, Cendrawasih Bay, Central Papua, Indonesia",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:13:07:06,23:13:24:06,16,REDcode 8:1,175,180,1.09
A005_A055_0412RE_001.R3D,00:00:47:07,25.000,2048 x 1080,r3d,Lesser Bird of Paradise Drops out of Tree,"A male Lesser Bird of Paradise (Paradisaea minor) jumps out of a tree, Cendrawasih Bay, Central Papua, Indonesia",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:13:55:06,23:14:42:13,16,REDcode 8:1,175,180,1.09
A005_A056_041278_001.R3D,00:00:12:15,25.000,2048 x 1080,r3d,Male Lesser Bird of Paradise,"Male Lesser Bird of Paradise (Paradisaea minor) jumps out of a tree, Cendrawasih Bay, Central Papua, Indonesia",Standard,Commercial,"Cendrawasih Bay, Indonesia",Wildlife,23:08:14:21,23:08:27:11,16,REDcode 8:1,175,180,1.09
