File Name,Duration TC,Shot Frame Rate,Resolution,Video Codec,Title/Comments,Description,Pricing Tier,License Type,Location,Category,Start TC,End TC,Bit Depth,Camera Format,Camera FPS,Shutter Angle,Aspect Ratio Notes
A005_A022_04120P_001.R3D,00:00:45:23,25.000,4608 x 2412,r3d,Close Up of Young Papuan in Face Paint,"A boy dressed in traditional clothes and face paint in preparation to perform a traditional dance, Kwatisore village, Cenderwasih Bay, Central Papua, Indonesia (no Model Release)",premium,editorial,"Cendrawasih Bay, Indonesia",Culture,07:42:04:06,07:42:50:04,16,REDcode 8:1,50,180,191.045
A005_A023_041296_001.R3D,00:00:17:01,25.000,4608 x 2412,r3d,Wide of Young Papuan in Face Paint and Feathered Head Gear,"A boy dressed in traditional Papuan feathered head dress and face paint in preparation to perform a traditional dance, Kwatisore village, Cenderwasih Bay, Central Papua, Indonesia (no Model Release)",premium,editorial,"Cendrawasih Bay, Indonesia",Culture,07:42:34:22,07:42:51:23,16,REDcode 8:1,50,180,191.045
A005_A025_0412S5_001.R3D,00:00:41:10,25.000,4608 x 2412,r3d,Papuan in Face Paint Looking at Camera Lifts Eyebrows,"A boy dressed in traditional head dress and face paint lifts his eyebrow while looking at the camera, Kwatisore village, Cenderwasih Bay, Central Papua, Indonesia (no Model Release)",premium,editorial,"Cendrawasih Bay, Indonesia",Culture,07:43:48:05,07:44:29:15,16,REDcode 8:1,50,180,191.045
A005_A025_0412S5_001.R3D,00:00:41:10,25.000,4608 x 2412,r3d,Young Papuan Man in Face Paint Smirking at Camera,"Young Papuan man in face paint smirks at camera, Kwatisore village, Cenderwasih Bay, Central Papua, Indonesia (no Model Release)",premium,editorial,"Cendrawasih Bay, Indonesia",Culture,07:43:48:05,07:44:29:15,16,REDcode 8:1,50,180,191.045
A005_A025_0412S5_001.R3D,00:00:41:10,25.000,4608 x 2412,r3d,Young Papuan Man in Face Paint Turns and Smiles at Camera,"Young Papuan man in face paint turns and smiles at camera, Kwatisore village, Cenderwasih Bay, Central Papua, Indonesia (no Model Release)",premium,editorial,"Cendrawasih Bay, Indonesia",Culture,07:43:48:05,07:44:29:15,16,REDcode 8:1,50,180,191.045
A005_A026_04125Z_001.R3D,00:00:16:17,25.000,4608 x 2412,r3d,Bearded Papuan Man in Traditional Head Gear ,"A bearded Papuan man with a traditional head gear stares at the camera, Kwatisore village, Cenderwasih Bay, Central Papua, Indonesia (no Model Release)",premium,editorial,"Cendrawasih Bay, Indonesia",Culture,07:44:20:05,07:44:36:22,16,REDcode 8:1,50,180,191.045
A005_A027_0412TI_001.R3D,00:00:15:15,25.000,4608 x 2412,r3d,Two Papuan Girls Smile at Camera,"Two Papuan girls in traditional dress and face paint look at the camera, Kwatisore village, Cenderwasih Bay, Central Papua, Indonesia (no Model Release)",premium,editorial,"Cendrawasih Bay, Indonesia",Culture,07:45:04:23,07:45:20:13,16,REDcode 8:1,50,180,191.045
A005_A031_04125N_001.R3D,00:00:13:12,25.000,5120 x 2700,r3d,Band and Youth Performing Papuan Dance,"A band performs a song while the local youth perform a traditional Papuan song, Kwatisore village, Cenderwasih Bay, Central Papua, Indonesia (no Model Release)",premium,editorial,"Cendrawasih Bay, Indonesia",Culture,07:48:48:15,07:49:02:02,16,REDcode 8:1,50,180,1.09
A005_A031_04125N_001.R3D,00:00:24:24,25.000,5120 x 2700,r3d,Young Papuan Men in Face Paint Performing,"Young Papuan men dressed in traditional clothes and face paint perform a traditional dance, Kwatisore village, Cenderwasih Bay, Central Papua, Indonesia (no Model Release)",premium,editorial,"Cendrawasih Bay, Indonesia",Culture,07:49:12:19,07:49:37:18,16,REDcode 8:1,50,180,1.09
A005_A031_04125N_001.R3D,00:00:24:24,25.000,5120 x 2700,r3d,Young Papuan women in Face Paint Performing,"Young Papuan women dressed in traditional clothes and face paint perform a traditional dance, Kwatisore village, Cenderwasih Bay, Central Papua, Indonesia (no Model Release)",premium,editorial,"Cendrawasih Bay, Indonesia",Culture,07:49:12:19,07:49:37:18,16,REDcode 8:1,50,180,1.09
