File Name,Clip Directory,Duration TC,Shot Frame Rate,Audio Channels,Resolution,Video Codec,Comments Title,Description,Pricing Tier,License Type,Location,Category,Date Recorded,Reel Number,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Field Dominance,Data Level,Date Modified,EDL Clip Name,Camera Type,Camera Serial #,Camera ID,Camera Format,Camera FPS,Shutter Angle,ISO,White Point (Kelvin),Sensor,Camera Firmware,Lens Type,Camera Aperture,Focal Point (mm),Distance,Aspect Ratio Notes,H-Flip,V-Flip
A003_A027_04081T_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/NABIRE_MARKET_BAGS/A003_A027_04081T.RDC,00:00:16:20,25.000,0,4608 x 2412,r3d,Handicraft Bags on Sale,"Handmade cloth handbags souvenirs on sale, Nabire, Central Papua Cenderwasih Bay, Indonesia (no property release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Culture,20210408 092718,3,09:27:20:07,09:27:37:02,0,419,420,16,Progressive,Auto,Thu Apr  8 20:54:11 2021,A003_A027_04081T_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,48,180,250,5000,GEMINI 5K S35,"7.4.1, 153431",Canon,35,35,890,1.91045,FALSE,FALSE
A003_A029_04089M_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/NABIRE_MARKET_BAGS/A003_A029_04089M.RDC,00:00:07:24,25.000,0,4608 x 2412,r3d,Market Street Selling Handbags in Nabire,"Handmade cloth handbags and other souvenirs on sale, Nabire, Central Papua Cenderwasih Bay, Indonesia (no property release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Culture,20210408 092829,3,09:28:36:10,09:28:44:09,0,198,199,16,Progressive,Auto,Thu Apr  8 20:54:15 2021,A003_A029_04089M_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,48,180,250,5000,GEMINI 5K S35,"7.4.1, 153431",Canon,56,18,3125,1.91045,FALSE,FALSE
A003_A030_0408TT_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/NABIRE_MARKET_BAGS/A003_A030_0408TT.RDC,00:00:07:11,25.000,0,4608 x 2412,r3d,Panning Market Street Selling Handbags in Nabire,"Panning left to right showing handmade cloth handbags and other souvenirs on sale, Nabire, Central Papua Cenderwasih Bay, Indonesia (no property release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Culture,20210408 092851,3,09:28:55:17,09:29:03:03,0,185,186,16,Progressive,Auto,Thu Apr  8 20:54:17 2021,A003_A030_0408TT_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,48,180,250,5000,GEMINI 5K S35,"7.4.1, 153431",Canon,56,18,3125,1.91045,FALSE,FALSE
A003_A031_040842_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/NABIRE_MARKET_BAGS/A003_A031_040842.RDC,00:00:10:00,25.000,0,4608 x 2412,r3d,Panning Handbags for Sale,"Handmade cloth handbags souvenirs on sale, Nabire, Central Papua Cenderwasih Bay, Indonesia (no property release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Culture,20210408 092906,3,09:29:06:20,09:29:16:20,0,249,250,16,Progressive,Auto,Thu Apr  8 20:54:19 2021,A003_A031_040842_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,48,180,250,5000,GEMINI 5K S35,"7.4.1, 153431",Canon,56,18,3125,1.91045,FALSE,FALSE
A005_A005_0412LS_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Village_kwatisore/Village_Kwatisore_Trimmed/A005_A005_0412LS.RDC,00:00:04:20,25.000,0,4608 x 2412,r3d,Woven Baskets for Sale,"Hand made woven baskets for food stacked and for sale, Nabire, Central Papua Cenderwasih Bay, Indonesia (no property release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Culture,20210412 072718,5,07:27:26:10,07:27:31:05,0,119,120,16,Progressive,Auto,Fri Apr 23 16:21:11 2021,A005_A005_0412LS_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,50,180,800,6000,GEMINI 5K S35,"7.4.1, 153431",Canon,18,18,620,1.91045,FALSE,FALSE
A005_A012_0412DX_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Village_kwatisore/Village_Kwatisore_Trimmed/A005_A012_0412DX.RDC,00:00:18:08,25.000,0,4608 x 2412,r3d,Proud Papuan Woman Displaying Her Crafts,"Papuan woman displaying wooden handicrafts for sale, Nabire, Central Papua Cenderwasih Bay, Indonesia (no model or property release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Culture,20210412 073009,5,07:30:09:11,07:30:27:19,0,457,458,16,Progressive,Auto,Fri Apr 23 16:21:27 2021,A005_A012_0412DX_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,50,180,3200,6000,GEMINI 5K S35,"7.4.1, 153431",Canon,56,35,890,1.91045,FALSE,FALSE
A005_A014_04124R_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Village_kwatisore/Village_Kwatisore_Trimmed/A005_A014_04124R.RDC,00:00:25:08,25.000,0,4608 x 2412,r3d,Papuan Woman Displaying Baskets for Sale,"Papuan woman displays stacks of hand made woven baskets for sale, Nabire, Central Papua Cenderwasih Bay, Indonesia (no model or property release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Culture,20210412 073203,5,07:32:13:16,07:32:38:24,0,632,633,16,Progressive,Auto,Fri Apr 23 16:21:46 2021,A005_A014_04124R_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,50,180,800,6000,GEMINI 5K S35,"7.4.1, 153431",Canon,18,24,1065,1.91045,FALSE,FALSE
A005_A018_0412K7_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Village_kwatisore/Village_Kwatisore_Trimmed/A005_A018_0412K7.RDC,00:00:14:04,25.000,0,4608 x 2412,r3d,Wooden Whaleshark Souvenir for Sale,"Painted wooden whale shark souvenir for sale, Nabire, Central Papua Cenderwasih Bay, Indonesia (no property release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Culture,20210412 073553,5,07:35:57:18,07:36:11:22,0,353,354,16,Progressive,Auto,Fri Apr 23 16:22:14 2021,A005_A018_0412K7_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,50,180,800,6000,GEMINI 5K S35,"7.4.1, 153431",Canon,18,24,465,1.91045,FALSE,FALSE
A005_A019_0412ZB_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Village_kwatisore/Village_Kwatisore_Trimmed/A005_A019_0412ZB.RDC,00:00:07:20,25.000,0,4608 x 2412,r3d,Handicrafts for Sale,"Locally produced handicrafts for sale, Nabire, Central Papua Cenderwasih Bay, Indonesia (no property release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Culture,20210412 073612,5,07:36:30:11,07:36:38:06,0,194,195,16,Progressive,Auto,Fri Apr 23 16:22:17 2021,A005_A019_0412ZB_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,50,180,800,6000,GEMINI 5K S35,"7.4.1, 153431",Canon,18,24,465,1.91045,FALSE,FALSE
A005_A021_0412GI_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/Village_kwatisore/Village_Kwatisore_Trimmed/A005_A021_0412GI.RDC,00:00:10:24,25.000,0,4608 x 2412,r3d,Carved Wooden Paddles for Sale,"Locally produced wooden paddles for sale, Nabire, Central Papua Cenderwasih Bay, Indonesia (no property release)",standard,Editorial,"Cendrawasih Bay, Indonesia",Culture,20210412 073702,5,07:37:25:07,07:37:36:06,0,273,274,16,Progressive,Auto,Fri Apr 23 16:22:24 2021,A005_A021_0412GI_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 8:1,50,180,800,6000,GEMINI 5K S35,"7.4.1, 153431",Canon,18,35,495,1.91045,FALSE,FALSE
