File Name,Shot Frame Rate,Resolution,Video Codec,Comments,Start TC,End TC,Bit Depth,Camera Type,Camera Format,Camera FPS,Aspect Ratio Notes
A033_C107_0919KN_001.R3D,"23,976",5120 x 2160,r3d,Komodo-scenery-sunset-boat,00:56:39:02,00:57:00:05,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2:37
A033_C109_0919S5_001.R3D,"23,976",5120 x 2160,r3d,sunset-komodo-boat-clouds,,,,,,,
A033_C111_0919KW_001.R3D,"23,976",5120 x 2160,r3d,speedboat-crossing-sunset-reflection-sea,01:37:09:18,01:37:56:09,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2:37
A033_C080_091838_001.R3D,"23,976",5120 x 2700,r3d,small-group-dolphins-emerging-1,18:21:51:02,18:22:26:21,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1:09
A033_C081_0918B5_001.R3D,"23,976",5120 x 2700,r3d,small-group-dolphins-emerging-2,18:22:04:06,18:23:54:10,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1:09
A033_C082_0918AC_001.R3D,"23,976",5120 x 2700,r3d,komodo-lanscape-pan-to-right,18:22:38:19,18:23:21:08,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1:09
A033_C083_0918MG_001.R3D,"23,976",5120 x 2700,r3d,small-group-dolphins-emerging-3,18:23:04:07,18:24:58:17,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1:09
A033_C084_0918P8_001.R3D,"23,976",5120 x 2700,r3d,small-group-dolphins-emerging-4,18:23:54:07,18:24:29:10,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1:09
A032_C139_0918JK_001.R3D,"23,976",5120 x 2700,r3d,Turtle-swimming-water-column-sun,00:28:47:11,00:30:14:08,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1:09
A032_C140_0918QW_001.R3D,"23,976",5120 x 2700,r3d,turtle-swimming-behind-coral,00:29:45:18,00:30:46:02,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1:09
A032_C140_0918QW_001.R3D,"23,976",5120 x 2700,r3d,turtle-hiding-behind-coral,,,,,,,
A032_C140_0918QW_001.R3D,"23,976",5120 x 2700,r3d,green-turtle-reveal-from-corals,00:31:59:18,00:32:54:09,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1:09
