File Name,Duration TC,Shot Frame Rate,Resolution,Video Codec,Title,Description,Pricing Tier,License Type,Location,Category,Start TC,End TC,Bit Depth,Camera Format,Camera FPS,Shutter Angle,Aspect Ratio Notes
A003_A018_0411CY_001.R3D,00:00:13:04,25.000,5120 x 2700,r3d,Fisherman Pouring Water to a Whaleshark,"A fisherman pours water out of a bucket to attract the attention of a whale shark, Rhincodon typus, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Model Release",standard,editorial,"Cendrawasih Bay, Indonesia",Culture,03:13:33:15,03:13:46:19,16,REDcode 10:1,50,180,1.09
A003_A019_0411B0_001.R3D,00:00:40:10,25.000,5120 x 2700,r3d,Fisherman Pours Water into a Crate with Fish,"A fisherman pours water into a crate filled with fish to attract the attention of a whale shark, Rhincodon typus, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Model Release",standard,editorial,,Culture,03:14:28:21,03:15:09:06,16,REDcode 10:1,50,180,1.09
A003_A019_0411B0_001.R3D,00:00:40:10,25.000,5120 x 2700,r3d,Fisherman Mixes Water and Fish,"A fisherman pours water into a cooler filled with fish to attract the attention of a whale shark, Rhincodon typus, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Model Release",standard,editorial,,Culture,03:14:28:21,03:15:09:06,16,REDcode 10:1,50,180,1.09
A003_A020_0411D7_001.R3D,00:00:43:00,25.000,5120 x 2700,r3d,Fisherman Drops Bucket into Water Beside Whale Shark,"A fisherman drops his bucket into the water to attract the attention of a whale shark, Rhincodon typus, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Model Release",standard,editorial,,Culture,03:15:00:22,03:15:43:22,16,REDcode 10:1,50,180,1.09
A003_A022_04117B_001.R3D,00:00:15:22,25.000,5120 x 2700,r3d,Fisherman Feeding a Whale Shark,"A fisherman squeezes a handful of fish to attract the attention of a whale shark, Rhincodon typus, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Model Release",standard,editorial,,Culture,03:16:36:18,03:16:52:15,16,REDcode 10:1,50,180,1.09
A003_A025_0411M4_001.R3D,00:00:32:15,25.000,5120 x 2700,r3d,Fisherman Speaking on Radio,"A fisherman from a bagan, a traditional Sulawesi net fishing boat, speaking on a hand held radio, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Model Release",standard,editorial,,Culture,03:19:47:09,03:20:19:24,16,REDcode 10:1,50,180,1.09
A003_A027_041184_001.R3D,00:00:14:19,25.000,5120 x 2700,r3d,Fisherman on Bagan Speaking on Radio,"A fisherman from a bagan, a traditional Sulawesi net fishing boat, speaking on a hand held radio, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Model Release",standard,editorial,,Culture,03:20:55:00,03:21:09:19,16,REDcode 10:1,50,180,1.09
A003_A030_0411MG_001.R3D,00:00:11:17,25.000,5120 x 2700,r3d,A Fisherman Pulling a Fish out of a Small Net,"A fisherman takes a small fish from a net and drops the rest back into the sea, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Model Release",standard,editorial,,Culture,03:23:33:10,03:23:45:02,16,REDcode 10:1,50,180,1.09
A003_A031_041104_001.R3D,00:00:13:09,25.000,5120 x 2700,r3d,Local Fisherman Throwing Fishing Line,"Local fisherman throwing a line into the water, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Model Release",standard,editorial,,Culture,03:24:22:09,03:24:35:18,16,REDcode 10:1,50,180,1.09
A003_A032_0411XX_001.R3D,00:01:10:05,25.000,5120 x 2700,r3d,Fisherman Pulls Small Fish from Net and Throws to Whale Shark,"A fisherman pulls up fish from a net and throws them into the water to attract the attention of a whale shark, Rhincodon typus, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Model Release",standard,editorial,,Culture,03:25:00:16,03:26:10:21,16,REDcode 10:1,50,180,1.09
A003_A032_0411XX_001.R3D,00:01:10:05,25.000,5120 x 2700,r3d,Fisherman Throws Fishing Line,"A fisherman on a bagan throws a fishing line, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Model Release",standard,editorial,,Culture,03:25:00:16,03:26:10:21,16,REDcode 10:1,50,180,1.09
A003_A033_0411RJ_001.R3D,00:00:17:18,25.000,5120 x 2700,r3d,Fisherman Pulling Fishing Line,"A fisherman on a bagan pulls in a fishing line, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Model Release",standard,editorial,,Culture,03:26:07:17,03:26:25:10,16,REDcode 10:1,50,180,1.09
A003_A035_0411IP_001.R3D,00:00:08:22,25.000,5120 x 2700,r3d,Living Quarter of a Bagan Traditional Boat,"The living quarters and engine room of a bagan fishing boat, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Property Release",standard,editorial,,Culture,03:27:26:06,03:27:35:03,16,REDcode 10:1,50,180,1.09
A003_A060_0411VK_001.R3D,00:00:09:15,25.000,5120 x 2700,r3d,Fisherman Manually Pulls Up Anchor,"A fisherman uses a manual winch to pick up the anchor of a bagan fishing boat, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Model Release",standard,editorial,,Culture,06:10:23:04,06:10:32:19,16,REDcode 10:1,25,180,1.09
A003_A061_0411IA_001.R3D,00:00:05:09,25.000,5120 x 2700,r3d,Fisherman Manually Pulls On a Winch,"A fisherman uses a manual winch of a bagan fishing boat, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean (no Model Release",standard,editorial,,Culture,06:10:56:04,06:11:01:13,16,REDcode 10:1,25,180,1.09
