File Name,Duration TC,Resolution,Video Codec,Title,Description,Shot,Scene,Start TC,End TC,Camera Type,Camera Format,Camera FPS,Shutter Angle,Aspect Ratio Notes,,
A004_A081_0412AG_001.R3D,00:00:08:03,5120 x 2700,r3d,Whaleshark eye contact up close to camera,"Silhouette of a whale shark, Rhincodon typus, swimming overhead with a second shark coming in from the side, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,02:25:27:15,02:25:35:18,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A006_A044_04136P_001.R3D,00:00:56:10,4608 x 2412,r3d,Whaleshark coming up towards the nets ,"A whale shark, Rhincodon typus, swims up toward the surface under a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,07:39:33:21,07:40:30:06,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A045_0413M6_001.R3D,00:00:50:03,4608 x 2412,r3d,Beautiful whalesharks covered in remoras and fish ,"A whale shark, Rhincodon typus, swims past the camera while covered in remoras, Echeneis naucrates, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,07:41:17:03,07:42:07:06,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A049_0413WS_001.R3D,00:00:31:02,4608 x 2412,r3d,Whaleshark swimming towards camera and clearing frame ,"A whale shark, Rhincodon typus, swims past the camera while covered in remoras, Echeneis naucrates, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,07:44:32:01,07:45:03:03,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A053_041381_001.R3D,00:01:11:12,4608 x 2412,r3d,Whaleshark eating leftover fish from fishermen ,"Two whale sharks, Rhincodon typus, eat small bait fish thrown by fishermen off of a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:23:15:13,08:24:27:00,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A054_04133L_001.R3D,00:00:18:07,4608 x 2412,r3d,Whaleshark swimming towards and over the camera,"A whale shark, Rhincodon typus, swims over the camera while covered in remoras, Echeneis naucrates, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:24:39:04,08:24:57:11,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A056_04133J_001.R3D,00:00:10:02,4608 x 2412,r3d,Whaleshark belly covered in remora fish,"A whale shark, Rhincodon typus, swims over the camera while covered in remoras, Echeneis naucrates, with a second whale shark behind, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:25:56:23,08:26:07:00,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A057_0413TH_001.R3D,00:02:19:13,4608 x 2412,r3d,Two Whale Shark Feed Beside Nets,"Two whale sharks, Rhincodon typus, feeding beside the nets of a bagan, a traditional drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:26:39:14,08:28:59:02,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A058_0413ED_001.R3D,00:00:44:10,4608 x 2412,r3d,Whaleshark swimming in blue water ,"A whale shark, Rhincodon typus, swims past the camera with right side of the shark showing its spots, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:29:02:07,08:29:46:17,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A059_0413ZL_001.R3D,00:00:31:02,4608 x 2412,r3d,Whaleshark swimming through frame looking from above,"A whale shark, Rhincodon typus, swims into the frame from the top and exits from the bottom as seen from above, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:29:50:03,08:30:21:05,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
