File Name,Shot Frame Rate,Resolution,Video Codec,Caption,Description,Shot,Scene,Start TC,End TC,Bit Depth,Camera Type,Camera Format,Camera FPS,Shutter Angle,Aspect Ratio Notes,Category
A004_A001_0412HC_001.R3D,25.000,5120 x 2700,r3d,whaleshark next to fishing nets,"A whale shark, Rhincodon typus, sucking at a net on the bottom of a boat while doing vertical feeding, Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,00:04:57:23,00:06:06:13,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A002_0412N6_001.R3D,25.000,5120 x 2700,r3d,whaleshark eating at surface eye contact with camera,"Whale shark, Rhincodon typus, approaches the camera and turns toward the fishing nets to feed, Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,00:05:45:20,00:06:18:16,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A003_0412AB_001.R3D,25.000,5120 x 2700,r3d,frontal view whaleshark swimming up to fishing nets ,"A whale shark, Rhincodon typus, rises up from the deep to inspect the fishing nets under a bagan, a traditional net fishing boat in Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,00:06:30:21,00:08:24:10,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A003_0412AB_001.R3D,25.000,5120 x 2700,r3d,frontal view whaleshark swimming up to pagan,"A whale shark, Rhincodon typus, enters from the right with left side of the shark showing its spots to inspect the fishing nets under a bagan, a traditional net fishing boat in Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,00:06:30:21,00:08:24:10,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A004_04122W_001.R3D,25.000,5120 x 2700,r3d,big whaleshark covered in remoras swims toward camera,"A whale shark, Rhincodon typus, swims up and over the camera showing its white belly and numerous hitchhiking remoras, Echeneis naucrates, Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,00:07:39:05,00:08:43:08,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A007_04128I_001.R3D,25.000,5120 x 2700,r3d,full body whaleshark swims away,"A whale shark, Rhincodon typus, swims away from the camera into the blue, Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,00:11:13:22,00:11:55:07,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A008_0412NB_001.R3D,25.000,5120 x 2700,r3d,whaleshark swimming next to nets with sunrays,"A whale shark, Rhincodon typus, swims away from the net under a bagan, a traditional drop net fishing boat, Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,00:12:38:01,00:14:42:11,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A008_0412NB_001.R3D,25.000,5120 x 2700,r3d,whaleshark swimming next to nets with sunrays and particles,"A whale shark, Rhincodon typus, approaches a bagan boat to feed on bait fish while two more sharks approach behind, Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,00:12:38:01,00:14:42:11,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A014_04122J_001.R3D,25.000,5120 x 2700,r3d,Two whalesharks slowly moving toward camera,"Two whale sharks, Rhincodon typus, moving toward the camera under a bagan, traditional drop net fishing boat, Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,00:21:46:19,00:23:00:04,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A021_0412HQ_001.R3D,25.000,5120 x 2700,r3d,whaleshark and shafts of sunlight on bagan ,"Looking up at a whale shark, Rhincodon typus, circling under a bagan, a traditional drop net fishing boat in Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,01:00:17:07,01:00:49:06,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A022_0412HY_001.R3D,25.000,5120 x 2700,r3d,whaleshark swimming up towards shafts of light,"A whale shark, Rhincodon typus, swims up from the depths toward a bagan drop net fishing boat, Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,01:00:43:16,01:02:10:13,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A025_0412N9_001.R3D,25.000,5120 x 2700,r3d,two whalesharks swimming side by side ,"Two whale sharks, Rhincodon typus, swim side by side past a fishing net and toward the blue, Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,01:03:36:19,01:04:22:14,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A026_0412MJ_001.R3D,25.000,5120 x 2700,r3d,two whalesharks swimming next to fishing nets,"Two whale sharks, Rhincodon typus, swim past a large fishing net hanging under a bagan, Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,01:04:42:16,01:06:32:15,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A026_0412MJ_001.R3D,25.000,5120 x 2700,r3d,two whalesharks swimming next to fishing net,"Two whale sharks, Rhincodon typus, swim down into the blue, Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,01:04:42:16,01:06:32:15,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A027_04124Y_001.R3D,25.000,5120 x 2700,r3d,whaleshark backlit with sunrays,"A whale shark, Rhincodon typus, swims under a bagan with sun rays and a second shark in the background, Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,01:05:45:04,01:06:39:01,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
A004_A081_0412AG_001.R3D,25.000,5120 x 2700,r3d,whaleshark eye contact close to camera,"A backlit whale shark, Rhincodon typus, swims close to look at the camera, Cendrawasih Bay, Papua, Indonesia, Pacific Ocean",Premium,Commercial,02:25:27:15,02:25:35:18,16,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Underwater
