File Name,Shot Frame Rate,Resolution,Video Codec,Title,Description,License Type,Pricing Tier,Start TC,End TC,Bit Depth,Camera Type,Camera Format,Camera FPS,Aspect Ratio Notes,Location,Type
A002_A006_0408KE_001.R3D,25.000,4608 x 2412,r3d,Delivery Motorbike Driver,"Delivery Motorbike Driver Entering Frame View from behind, fish market of Nabire, Central Papua, Indonesia (no MR)",standard,editorial,22:35:27:21,22:36:07:11,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A008_0408EA_001.R3D,25.000,4608 x 2412,r3d,Indonesian Wooden Fishing Boat,"Indonesian wooden fishing vessel, Nabire, Central Papua, Indonesia",standard,editorial ,22:41:20:13,22:41:30:09,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A011_0408U8_001.R3D,25.000,4608 x 2412,r3d,Tuna on the Beach,"Tuna on a Stand, early in the morning in a fish Market, Nabire, Central Papua, Indonesia",standard,editorial ,23:41:29:14,23:41:40:14,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A014_0408X0_001.R3D,25.000,4608 x 2412,r3d,Fish Market Vendor Nabire,"Fish Market Vendor Cutting Tuna Early in the Morning in the Fish Market, Nabire, Central Papua, Indonesia (no MR)",standard,editorial ,23:42:36:22,23:42:55:24,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A015_0408TG_001.R3D,25.000,4608 x 2412,r3d,Fish Market Vendor Working,"Fish Market Vendor Cutting Tuna Early in the Morning in the Fish Market, Nabire, West Papua, Indonesia (no MR)",standard,editorial ,23:43:04:13,23:43:14:16,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A016_0408QZ_001.R3D,25.000,4608 x 2412,r3d,People in Nabire Fish Market,"People and Vendors In Nabire Fish Market, Central Papua, Indonesia (no MR)",standard,editorial ,23:43:39:06,23:43:49:12,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A017_0408BK_001.R3D,25.000,4608 x 2412,r3d,People in Fish Market Nabire,"People and Vendors In Nabire Fish Market, Central Papua, Indonesia (no MR)",standard,editorial ,23:43:47:20,23:43:53:07,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A018_0408TV_001.R3D,25.000,4608 x 2412,r3d,Vendor Holding a Chicken at Market,"Panning up from live Chickens held by a vendor in the market of Nabire, Central Papua, Indonesia (no MR)",standard,editorial ,23:44:43:23,23:44:53:22,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A018_0408TV_001.R3D,25.000,4608 x 2412,r3d,Vendors Nabire Market,"Two vendors in the market at Nabire, Central Papua, Indonesia (no MR)",standard,editorial ,23:44:57:03,23:44:59:18,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A019_0408J0_001.R3D,25.000,4608 x 2412,r3d,Fish Market Vendor Working,"Fish market vendor cutting tuna early in the morning in the fish market, Nabire, Central Papua, Indonesia (no MR)",standard,editorial ,23:45:34:03,23:46:35:23,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A019_0408J0_001.R3D,25.000,4608 x 2412,r3d,Fish Market Vendor Working with Tuna,"Fish market vendor cutting tuna early in the morning in the fish market, Nabire, Central Papua, Indonesia (no MR)",standard,editorial ,23:45:34:03,23:46:35:23,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A022_0408F1_001.R3D,25.000,4608 x 2412,r3d,Fish Market Vendor,"Fish market vendor cutting tuna early in the morning in the fish market, Nabire, Central Papua, Indonesia (no MR)",standard,editorial ,23:47:50:17,23:47:59:21,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A022_0408F1_001.R3D,25.000,4608 x 2412,r3d,Fish Market Vendor Cutting Tuna,"Fish market vendor cutting tuna early in the morning in the fish market, Nabire, Central Papua, Indonesia (no MR)",standard,editorial ,23:48:13:03,23:49:03:13,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A022_0408F1_001.R3D,25.000,4608 x 2412,r3d,Fish Market Vendor Cutting Fish,"Fish market vendor cutting tuna early in the morning in the fish market, Nabire, Central Papua, Indonesia (no MR)",standard,editorial ,23:48:13:03,23:49:03:13,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A025_04081C_001.R3D,25.000,4608 x 2412,r3d,Fish Market Vendor with Fish,"Fish market vendor cutting tuna early in the morning in the fish market, Nabire, Central Papua, Indonesia (no MR)",standard,editorial ,23:52:13:02,23:52:23:11,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A027_04087I_001.R3D,25.000,4608 x 2412,r3d,Vendors at Nabire Market,"People and Vendors in the Fresh Market in Nabire, Central Papua, Indonesia (no MR)",standard,editorial ,23:54:08:06,23:54:24:00,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A028_040876_001.R3D,25.000,4608 x 2412,r3d,Morning Market Vendors,"Morning Vendors Selling Live Chickens in Nabire Market, Central Papua, Indonesia (no MR)",standard,editorial ,23:55:18:02,23:55:28:20,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A030_0408GE_001.R3D,25.000,4608 x 2412,r3d,Vendors Selling Fish at Nabire Market,"Vendors Selling Fish in the Fish Market in Nabire, Central Papua, Indonesia (no MR)",standard,editorial ,23:59:40:04,23:59:48:16,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A031_0408JN_001.R3D,25.000,4608 x 2412,r3d,Offloading Fish at Nabire Market,"Vendors Offloading Delivery at the Fish Market in Nabire, Central Papua, Indonesia  (no MR)",standard,editorial ,00:00:22:00,00:00:43:10,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A032_04092F_001.R3D,25.000,4608 x 2412,r3d,Small Fish at Market,"Small fish on a stand for sale in Nabire fresh market, Nabire, Central Papua, Indonesia (no MR)",standard,editorial ,00:00:50:18,00:01:02:00,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
A002_A033_0409Z4_001.R3D,25.000,4608 x 2412,r3d,Selling Fish at Market,"Early Morning Vendors Selling Fish in Nabire Fish Market, Central Papua, Indonesia (no MR)",standard,editorial ,00:01:12:12,00:01:25:19,16,DSMC2 GEMINI 5K S35,REDcode 8:1,48,191.045,"Nabire, Cendrawasih Bay",Culture
