File Name,Clip Directory,Duration TC,Shot Frame Rate,Audio Channels,Resolution,Video Codec,Rating,Description,Comments/Title,Date Recorded,Reel Number,Location,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Field Dominance,Data Level,Date Modified,Input Gamma,Camera Type,Camera Serial #,Camera ID,Camera Format,Camera FPS,Shutter Angle,ISO,White Point (Kelvin),Sensor,Camera Firmware,Lens Type,Camera Aperture,Focal Point (mm),Distance,Aspect Ratio Notes,H-Flip,V-Flip,License,Category,Pricing Tier
A056_D003_0304EP_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_30_04-03-202628/A056_03041G.RDM/A056_D003_0304EP.RDC,00:00:15:10,23.976,0,7680 x 4320,r3d,4,"Shallow coral reef with a variety of small reef fish and three giant sweetlips, Plectorhinchus albovittatus,  in the background, Dampier Strait, Raja Ampat, South West Papua, Indonesia, Pacific Ocean","Shallow Coral Reef and Schooling Fish
",20260304 105914,56,"Raja Ampat, Indonesia
",18:18:41:19,18:18:57:05,0,369,370,16,Progressive,Auto,Wed Aug 19 10:58:47 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,172.791,1000,9000,V-RAPTOR VV,"1.5.4, 36176123",Canon,100,35,500,1.78,FALSE,FALSE,Commercial,Underwater,Premium
A056_D004_0304DU_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_30_04-03-202628/A056_03041G.RDM/A056_D004_0304DU.RDC,00:00:15:06,23.976,0,7680 x 4320,r3d,4,"Shallow coral reef with a variety of small reef fish and four iant sweetlips, Plectorhinchus albovittatus,  in the background, Dampier Strait, Raja Ampat, South West Papua, Indonesia, Pacific Oceang",Four Giant Sweetlips Hovering Over Coral Head,20260304 110025,56,"Raja Ampat, Indonesia
",18:19:14:09,18:19:29:15,0,365,366,16,Progressive,Auto,Wed Aug 19 10:58:55 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,172.791,1000,9000,V-RAPTOR VV,"1.5.4, 36176123",Canon,100,35,500,1.78,FALSE,FALSE,Commercial,Underwater,Premium
A056_D005_0304EK_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_30_04-03-202628/A056_03041G.RDM/A056_D005_0304EK.RDC,00:00:49:16,23.976,0,7680 x 4320,r3d,4,"Giant sweetlips, Plectorhinchus albovittatus,  crowding arounda coral head that is home to a large swarm of silvery baitfish and other small tropical fish, Dampier Strait, Raja Ampat, South West Papua, Indonesia, Pacific Ocean
",Giant Sweetlips and Coral Head,20260304 110054,56,"Raja Ampat, Indonesia",18:20:04:12,18:20:54:04,0,1191,1192,16,Progressive,Auto,Wed Aug 19 10:59:03 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1000,9000,V-RAPTOR VV,"1.5.4, 36176123",Canon,100,35,500,1.78,FALSE,FALSE,Commercial,Underwater,Premium
A056_D006_0304BK_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_30_04-03-202628/A056_03041G.RDM/A056_D006_0304BK.RDC,00:00:22:10,23.976,0,7680 x 4320,r3d,4,"Thousands of bait fish schooling around a large coral head with a giant sweetlips, Plectorhinchus albovittatus and a  diagonal-banded sweetlips, Plectorhinchus lineatus, hovering in the background, Dampier Strait, Raja Ampat, South West Papua, Indonesia, Pacific Ocean
","Baitfish and Coral Head
",20260304 110212,56,"Raja Ampat, Indonesia",18:20:58:10,18:21:20:20,0,537,538,16,Progressive,Auto,Wed Aug 19 10:59:29 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1000,9000,V-RAPTOR VV,"1.5.4, 36176123",Canon,100,35,500,1.78,FALSE,FALSE,Commercial,Underwater,Premium
A056_D006_0304BK_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_30_04-03-202628/A056_03041G.RDM/A056_D006_0304BK_S000.RDC,00:00:29:21,23.976,0,7680 x 4320,r3d,4,"Thousands of small blue bait fish schooling around a large coral head with a giant sweetlips, Plectorhinchus albovittatus and a  diagonal-banded sweetlips, Plectorhinchus lineatus, hovering in the background, Dampier Strait, Raja Ampat, South West Papua, Indonesia, Pacific Ocean
",Baitfish and Sweetlips,20260304 110212,56,"Raja Ampat, Indonesia",18:21:43:19,18:22:13:16,0,716,717,16,Progressive,Auto,Wed Aug 19 11:09:40 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1000,9000,V-RAPTOR VV,"1.5.4, 36176123",Canon,100,35,500,1.78,FALSE,FALSE,Commercial,Underwater,Premium
A056_D007_0304P6_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_30_04-03-202628/A056_03041G.RDM/A056_D007_0304P6.RDC,00:00:23:02,23.976,0,7680 x 4320,r3d,4,"Panning around thousands of bait fish in front of a large coral head with a giant sweetlips, Plectorhinchus albovittatus and a  diagonal-banded sweetlips, Plectorhinchus lineatus, hovering in the background, Dampier Strait, Raja Ampat, South West Papua, Indonesia, Pacific Ocean
",Panning Baitfish and Sweetlips,20260304 110332,56,"Raja Ampat, Indonesia",18:22:48:03,18:23:11:05,0,553,554,16,Progressive,Auto,Wed Aug 19 10:59:40 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1000,9000,V-RAPTOR VV,"1.5.4, 36176123",Canon,100,24,480,1.78,FALSE,FALSE,Commercial,Underwater,Premium
A056_D007_0304P6_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_30_04-03-202628/A056_03041G.RDM/A056_D007_0304P6_S000.RDC,00:00:11:21,23.976,0,7680 x 4320,r3d,4,"Tight school of bait fish schooling around a large coral head with a giant sweetlips, Plectorhinchus albovittatus and a  diagonal-banded sweetlips, Plectorhinchus lineatus, hovering in the background, Dampier Strait, Raja Ampat, South West Papua, Indonesia, Pacific Ocean
",Schooling Baitfish and Sweetlips,20260304 110332,56,"Raja Ampat, Indonesia",18:23:34:10,18:23:46:07,0,284,285,16,Progressive,Auto,Wed Aug 19 10:59:50 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1000,9000,V-RAPTOR VV,"1.5.4, 36176123",Canon,100,24,480,1.78,FALSE,FALSE,Commercial,Underwater,Premium
A056_D008_03042U_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_30_04-03-202628/A056_03041G.RDM/A056_D008_03042U.RDC,00:00:16:21,23.976,0,7680 x 4320,r3d,4,"Two giant sweetlips, Plectorhinchus albovittatus and a  diagonal-banded sweetlips, Plectorhinchus lineatus, hovering in the background,  and a  diagonal-banded sweetlips, Plectorhinchus lineatus, hovering in the background, Dampier Strait, Raja Ampat, South West Papua, Indonesia, Pacific Ocean
",Two Giant Sweetlips,20260304 110509,56,"Raja Ampat, Indonesia",18:23:54:22,18:24:11:19,0,404,405,16,Progressive,Auto,Wed Aug 19 10:59:59 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1000,9000,V-RAPTOR VV,"1.5.4, 36176123",Canon,100,35,500,1.78,FALSE,FALSE,Commercial,Underwater,Premium
A056_D008_03042U_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_30_04-03-202628/A056_03041G.RDM/A056_D008_03042U_S000.RDC,00:00:19:18,23.976,0,7680 x 4320,r3d,4,"Reveal of three giant sweetlips, Plectorhinchus albovittatus, behind a large coral head covered in bait fish, Dampier Strait, Raja Ampat, South West Papua, Indonesia, Pacific Ocean
",Reveal of Giant Sweetlips,20260304 110509,56,"Raja Ampat, Indonesia",18:26:24:22,18:26:44:16,0,473,474,16,Progressive,Auto,Wed Aug 19 11:00:07 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1000,9000,V-RAPTOR VV,"1.5.4, 36176123",Canon,100,35,500,1.78,FALSE,FALSE,Commercial,Underwater,Premium
A056_D010_0304K0_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_30_04-03-202628/A056_03041G.RDM/A056_D010_0304K0.RDC,00:00:25:10,23.976,0,7680 x 4320,r3d,4,"Fusiliers and damsel fish school above branching coral, Porites sp., Dampier Strait, Raja Ampat, South West Papua, Indonesia, Pacific Ocean
",Schooling Fish and Branching Coral,20260304 111048,56,"Raja Ampat, Indonesia",18:29:47:00,18:30:12:10,0,609,610,16,Progressive,Auto,Wed Aug 19 11:00:17 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1000,9000,V-RAPTOR VV,"1.5.4, 36176123",Canon,100,20,480,1.78,FALSE,FALSE,Commercial,Underwater,Premium
