# Paste these rows into Raja Stock Clips 3 Clips Metadata.csv (or Numbers master)
# File Name = R3D reel ID | Comments = URL slug | fill Description + Duration TC
# Then run: node ingest.js

File Name,Clip Directory,Duration TC,,,Resolution,Video Codec,Description,Comments,,Location,Category,,,,,Bit Depth,,,,EDL Clip Name,Camera Type,,,Camera Format,Camera FPS,,,,Sensor,,,,,,Aspect Ratio Notes
A030_C060_0915PM_V2-0001_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A030 C060 0915pm V2 0001 — add species, behavior, and location description",a030-c060-0915pm-v2-0001,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C010_091568_V2-0002_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C010 091568 V2 0002 — add species, behavior, and location description",a031-c010-091568-v2-0002,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C013_0915D3_V2-0003_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C013 0915d3 V2 0003 — add species, behavior, and location description",a031-c013-0915d3-v2-0003,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C014_0915UA_V2-0004_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C014 0915ua V2 0004 — add species, behavior, and location description",a031-c014-0915ua-v2-0004,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C016_09153P_V2-0005_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C016 09153p V2 0005 — add species, behavior, and location description",a031-c016-09153p-v2-0005,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C020_09150A_V2-0006_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C020 09150a V2 0006 — add species, behavior, and location description",a031-c020-09150a-v2-0006,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C020_09150A_V2-0007_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C020 09150a V2 0007 — add species, behavior, and location description",a031-c020-09150a-v2-0007,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C020_09150A_V2-0010_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C020 09150a V2 0010 — add species, behavior, and location description",a031-c020-09150a-v2-0010,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C020_09150A_V2-0011_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C020 09150a V2 0011 — add species, behavior, and location description",a031-c020-09150a-v2-0011,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C021_09151D_V2-0008_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C021 09151d V2 0008 — add species, behavior, and location description",a031-c021-09151d-v2-0008,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C022_0915ML_V2-0009_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C022 0915ml V2 0009 — add species, behavior, and location description",a031-c022-0915ml-v2-0009,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C023_0915M3_V2-0012_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C023 0915m3 V2 0012 — add species, behavior, and location description",a031-c023-0915m3-v2-0012,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C023_0915M3_V2-0013_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C023 0915m3 V2 0013 — add species, behavior, and location description",a031-c023-0915m3-v2-0013,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C024_0915R9_V2-0014_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C024 0915r9 V2 0014 — add species, behavior, and location description",a031-c024-0915r9-v2-0014,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C025_0915XL_V2-0015_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C025 0915xl V2 0015 — add species, behavior, and location description",a031-c025-0915xl-v2-0015,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C047_0916TP_V1-0078_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C047 0916tp V1 0078 — add species, behavior, and location description",a031-c047-0916tp-v1-0078,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C049_0916A2_V1-0085_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C049 0916a2 V1 0085 — add species, behavior, and location description",a031-c049-0916a2-v1-0085,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
